Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Singapore,200,,|,italy,2,-152269
Singapore,212,12,|,italy,2,0
Singapore,226,14,|,italy,2,0
Singapore,243,17,|,italy,2,0
Singapore,266,23,|,italy,2,0
Singapore,313,47,|,italy,2,0
Singapore,345,32,|,italy,2,0
Singapore,385,40,|,italy,3,1
Singapore,432,47,|,italy,3,0
Singapore,455,23,|,italy,3,0
Singapore,509,54,|,italy,3,0
Singapore,558,49,|,italy,3,0
Singapore,631,73,|,italy,3,0
Singapore,683,52,|,italy,3,0
Singapore,732,49,|,italy,3,0
Singapore,802,70,|,italy,3,0
Singapore,844,42,|,italy,3,0
Singapore,879,35,|,italy,3,0
Singapore,926,47,|,italy,3,0
Singapore,1000,74,|,italy,3,0
Singapore,1049,49,|,italy,3,0
Singapore,1114,65,|,italy,20,17
Singapore,1189,75,|,italy,62,42
Singapore,1309,120,|,italy,155,93
Singapore,1375,66,|,italy,229,74
Singapore,1481,106,|,italy,322,93
Singapore,1623,142,|,italy,453,131
Singapore,1910,287,|,italy,655,202
Singapore,2108,198,|,italy,888,233
Singapore,,,|,italy,1128,240
Singapore,,,|,italy,1694,566
Singapore,,,|,italy,2036,342
Singapore,,,|,italy,2502,466
Singapore,,,|,italy,3089,587
Singapore,,,|,italy,3858,769
Singapore,,,|,italy,4636,778
Singapore,,,|,italy,5883,1247
Singapore,,,|,italy,7375,1492
Singapore,,,|,italy,9172,1797
Singapore,,,|,italy,10149,977
Singapore,,,|,italy,12462,2313
Singapore,,,|,italy,12462,0
Singapore,,,|,italy,17660,5198
Singapore,,,|,italy,21157,3497
Singapore,,,|,italy,24747,3590
Singapore,,,|,italy,27980,3233
Singapore,,,|,italy,31506,3526
Singapore,,,|,italy,35713,4207
Singapore,,,|,italy,41035,5322
Singapore,,,|,italy,47021,5986
Singapore,,,|,italy,53578,6557
Singapore,,,|,italy,59138,5560
Singapore,,,|,italy,63927,4789
Singapore,,,|,italy,69176,5249
Singapore,,,|,italy,74386,5210
Singapore,,,|,italy,80589,6203
Singapore,,,|,italy,86498,5909
Singapore,,,|,italy,92472,5974
Singapore,,,|,italy,97689,5217
Singapore,,,|,italy,101739,4050
Singapore,,,|,italy,105792,4053
Singapore,,,|,italy,110574,4782
Singapore,,,|,italy,115242,4668
Singapore,,,|,italy,119827,4585
Singapore,,,|,italy,124632,4805
Singapore,,,|,italy,128948,4316
Singapore,,,|,italy,132547,3599
Singapore,,,|,italy,135586,3039
Singapore,,,|,italy,139422,3836
Singapore,,,|,italy,143626,4204
Singapore,,,|,italy,147577,3951
Singapore,,,|,italy,152271,4694
