Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Singapore,631,,|,netherlands,1,-24570
Singapore,683,52,|,netherlands,1,0
Singapore,732,49,|,netherlands,6,5
Singapore,802,70,|,netherlands,10,4
Singapore,844,42,|,netherlands,18,8
Singapore,879,35,|,netherlands,24,6
Singapore,926,47,|,netherlands,38,14
Singapore,1000,74,|,netherlands,82,44
Singapore,1049,49,|,netherlands,128,46
Singapore,1114,65,|,netherlands,188,60
Singapore,1189,75,|,netherlands,265,77
Singapore,1309,120,|,netherlands,321,56
Singapore,1375,66,|,netherlands,382,61
Singapore,1481,106,|,netherlands,503,121
Singapore,1623,142,|,netherlands,503,0
Singapore,1910,287,|,netherlands,806,303
Singapore,2108,198,|,netherlands,962,156
Singapore,,,|,netherlands,1138,176
Singapore,,,|,netherlands,1416,278
Singapore,,,|,netherlands,1711,295
Singapore,,,|,netherlands,2058,347
Singapore,,,|,netherlands,2467,409
Singapore,,,|,netherlands,3003,536
Singapore,,,|,netherlands,3640,637
Singapore,,,|,netherlands,4217,577
Singapore,,,|,netherlands,4764,547
Singapore,,,|,netherlands,5580,816
Singapore,,,|,netherlands,6438,858
Singapore,,,|,netherlands,7468,1030
Singapore,,,|,netherlands,8647,1179
Singapore,,,|,netherlands,9819,1172
Singapore,,,|,netherlands,10930,1111
Singapore,,,|,netherlands,11817,887
Singapore,,,|,netherlands,12667,850
Singapore,,,|,netherlands,13696,1029
Singapore,,,|,netherlands,14788,1092
Singapore,,,|,netherlands,15821,1033
Singapore,,,|,netherlands,16727,906
Singapore,,,|,netherlands,17953,1226
Singapore,,,|,netherlands,18926,973
Singapore,,,|,netherlands,19709,783
Singapore,,,|,netherlands,20682,973
Singapore,,,|,netherlands,21903,1221
Singapore,,,|,netherlands,23249,1346
Singapore,,,|,netherlands,24571,1322
