Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Singapore,67,,|,russia,2,-13582
Singapore,72,5,|,russia,2,0
Singapore,75,3,|,russia,2,0
Singapore,77,2,|,russia,2,0
Singapore,81,4,|,russia,2,0
Singapore,84,3,|,russia,2,0
Singapore,84,0,|,russia,2,0
Singapore,85,1,|,russia,2,0
Singapore,85,0,|,russia,2,0
Singapore,89,4,|,russia,2,0
Singapore,89,0,|,russia,2,0
Singapore,91,2,|,russia,2,0
Singapore,93,2,|,russia,2,0
Singapore,93,0,|,russia,2,0
Singapore,93,0,|,russia,2,0
Singapore,102,9,|,russia,2,0
Singapore,106,4,|,russia,2,0
Singapore,108,2,|,russia,2,0
Singapore,110,2,|,russia,2,0
Singapore,110,0,|,russia,2,0
Singapore,117,7,|,russia,2,0
Singapore,130,13,|,russia,2,0
Singapore,138,8,|,russia,2,0
Singapore,150,12,|,russia,2,0
Singapore,150,0,|,russia,2,0
Singapore,160,10,|,russia,2,0
Singapore,178,18,|,russia,2,0
Singapore,178,0,|,russia,2,0
Singapore,200,22,|,russia,2,0
Singapore,212,12,|,russia,2,0
Singapore,226,14,|,russia,2,0
Singapore,243,17,|,russia,3,1
Singapore,266,23,|,russia,3,0
Singapore,313,47,|,russia,3,0
Singapore,345,32,|,russia,4,1
Singapore,385,40,|,russia,13,9
Singapore,432,47,|,russia,13,0
Singapore,455,23,|,russia,17,4
Singapore,509,54,|,russia,17,0
Singapore,558,49,|,russia,20,3
Singapore,631,73,|,russia,20,0
Singapore,683,52,|,russia,28,8
Singapore,732,49,|,russia,45,17
Singapore,802,70,|,russia,59,14
Singapore,844,42,|,russia,63,4
Singapore,879,35,|,russia,90,27
Singapore,926,47,|,russia,114,24
Singapore,1000,74,|,russia,147,33
Singapore,1049,49,|,russia,199,52
Singapore,1114,65,|,russia,253,54
Singapore,1189,75,|,russia,306,53
Singapore,1309,120,|,russia,367,61
Singapore,1375,66,|,russia,438,71
Singapore,1481,106,|,russia,495,57
Singapore,1623,142,|,russia,658,163
Singapore,1910,287,|,russia,840,182
Singapore,2108,198,|,russia,1036,196
Singapore,,,|,russia,1264,228
Singapore,,,|,russia,1534,270
Singapore,,,|,russia,1836,302
Singapore,,,|,russia,2337,501
Singapore,,,|,russia,2777,440
Singapore,,,|,russia,3548,771
Singapore,,,|,russia,4149,601
Singapore,,,|,russia,4731,582
Singapore,,,|,russia,5389,658
Singapore,,,|,russia,6343,954
Singapore,,,|,russia,7497,1154
Singapore,,,|,russia,8672,1175
Singapore,,,|,russia,10131,1459
Singapore,,,|,russia,11917,1786
Singapore,,,|,russia,13584,1667
