Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Slovakia,,,|,bahrain,1,-1039
Slovakia,,,|,bahrain,23,22
Slovakia,,,|,bahrain,33,10
Slovakia,,,|,bahrain,33,0
Slovakia,,,|,bahrain,36,3
Slovakia,1,,|,bahrain,41,5
Slovakia,1,0,|,bahrain,47,6
Slovakia,3,2,|,bahrain,49,2
Slovakia,3,0,|,bahrain,49,0
Slovakia,7,4,|,bahrain,52,3
Slovakia,10,3,|,bahrain,55,3
Slovakia,16,6,|,bahrain,60,5
Slovakia,32,16,|,bahrain,85,25
Slovakia,44,12,|,bahrain,85,0
Slovakia,54,10,|,bahrain,95,10
Slovakia,63,9,|,bahrain,110,15
Slovakia,72,9,|,bahrain,195,85
Slovakia,105,33,|,bahrain,195,0
Slovakia,123,18,|,bahrain,195,0
Slovakia,137,14,|,bahrain,210,15
Slovakia,178,41,|,bahrain,214,4
Slovakia,185,7,|,bahrain,214,0
Slovakia,186,1,|,bahrain,228,14
Slovakia,204,18,|,bahrain,256,28
Slovakia,216,12,|,bahrain,278,22
Slovakia,226,10,|,bahrain,285,7
Slovakia,269,43,|,bahrain,305,20
Slovakia,292,23,|,bahrain,334,29
Slovakia,314,22,|,bahrain,377,43
Slovakia,336,22,|,bahrain,392,15
Slovakia,363,27,|,bahrain,419,27
Slovakia,400,37,|,bahrain,458,39
Slovakia,426,26,|,bahrain,466,8
Slovakia,450,24,|,bahrain,476,10
Slovakia,471,21,|,bahrain,499,23
Slovakia,485,14,|,bahrain,515,16
Slovakia,534,49,|,bahrain,567,52
Slovakia,581,47,|,bahrain,569,2
Slovakia,682,101,|,bahrain,643,74
Slovakia,701,19,|,bahrain,672,29
Slovakia,715,14,|,bahrain,688,16
Slovakia,728,13,|,bahrain,700,12
Slovakia,,,|,bahrain,756,56
Slovakia,,,|,bahrain,811,55
Slovakia,,,|,bahrain,823,12
Slovakia,,,|,bahrain,887,64
Slovakia,,,|,bahrain,925,38
Slovakia,,,|,bahrain,1040,115
