Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Slovakia,,,|,china,548,-82466
Slovakia,,,|,china,643,95
Slovakia,,,|,china,920,277
Slovakia,,,|,china,1406,486
Slovakia,,,|,china,2075,669
Slovakia,,,|,china,2877,802
Slovakia,,,|,china,5509,2632
Slovakia,,,|,china,6087,578
Slovakia,,,|,china,8141,2054
Slovakia,,,|,china,9802,1661
Slovakia,,,|,china,11891,2089
Slovakia,,,|,china,16630,4739
Slovakia,,,|,china,19716,3086
Slovakia,,,|,china,23707,3991
Slovakia,,,|,china,27440,3733
Slovakia,1,,|,china,30587,3147
Slovakia,1,0,|,china,34110,3523
Slovakia,3,2,|,china,36814,2704
Slovakia,3,0,|,china,39829,3015
Slovakia,7,4,|,china,42354,2525
Slovakia,10,3,|,china,44386,2032
Slovakia,16,6,|,china,44759,373
Slovakia,32,16,|,china,59895,15136
Slovakia,44,12,|,china,66358,6463
Slovakia,54,10,|,china,68413,2055
Slovakia,63,9,|,china,70513,2100
Slovakia,72,9,|,china,72434,1921
Slovakia,105,33,|,china,74211,1777
Slovakia,123,18,|,china,74619,408
Slovakia,137,14,|,china,75077,458
Slovakia,178,41,|,china,75550,473
Slovakia,185,7,|,china,77001,1451
Slovakia,186,1,|,china,77022,21
Slovakia,204,18,|,china,77241,219
Slovakia,216,12,|,china,77754,513
Slovakia,226,10,|,china,78166,412
Slovakia,269,43,|,china,78600,434
Slovakia,292,23,|,china,78928,328
Slovakia,314,22,|,china,79356,428
Slovakia,336,22,|,china,79932,576
Slovakia,363,27,|,china,80136,204
Slovakia,400,37,|,china,80261,125
Slovakia,426,26,|,china,80386,125
Slovakia,450,24,|,china,80537,151
Slovakia,471,21,|,china,80690,153
Slovakia,485,14,|,china,80770,80
Slovakia,534,49,|,china,80823,53
Slovakia,581,47,|,china,80860,37
Slovakia,682,101,|,china,80887,27
Slovakia,701,19,|,china,80921,34
Slovakia,715,14,|,china,80932,11
Slovakia,728,13,|,china,80945,13
Slovakia,,,|,china,80977,32
Slovakia,,,|,china,81003,26
Slovakia,,,|,china,81033,30
Slovakia,,,|,china,81058,25
Slovakia,,,|,china,81102,44
Slovakia,,,|,china,81156,54
Slovakia,,,|,china,81250,94
Slovakia,,,|,china,81305,55
Slovakia,,,|,china,81435,130
Slovakia,,,|,china,81498,63
Slovakia,,,|,china,81591,93
Slovakia,,,|,china,81661,70
Slovakia,,,|,china,81782,121
Slovakia,,,|,china,81897,115
Slovakia,,,|,china,81999,102
Slovakia,,,|,china,82122,123
Slovakia,,,|,china,82198,76
Slovakia,,,|,china,82279,81
Slovakia,,,|,china,82361,82
Slovakia,,,|,china,82432,71
Slovakia,,,|,china,82511,79
Slovakia,,,|,china,82543,32
Slovakia,,,|,china,82602,59
Slovakia,,,|,china,82665,63
Slovakia,,,|,china,82718,53
Slovakia,,,|,china,82809,91
Slovakia,,,|,china,82883,74
Slovakia,,,|,china,82941,58
Slovakia,,,|,china,83014,73
