Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Slovakia,72,,|,costa-rica,1,-576
Slovakia,105,33,|,costa-rica,1,0
Slovakia,123,18,|,costa-rica,5,4
Slovakia,137,14,|,costa-rica,9,4
Slovakia,178,41,|,costa-rica,9,0
Slovakia,185,7,|,costa-rica,13,4
Slovakia,186,1,|,costa-rica,22,9
Slovakia,204,18,|,costa-rica,23,1
Slovakia,216,12,|,costa-rica,26,3
Slovakia,226,10,|,costa-rica,27,1
Slovakia,269,43,|,costa-rica,35,8
Slovakia,292,23,|,costa-rica,41,6
Slovakia,314,22,|,costa-rica,50,9
Slovakia,336,22,|,costa-rica,69,19
Slovakia,363,27,|,costa-rica,89,20
Slovakia,400,37,|,costa-rica,117,28
Slovakia,426,26,|,costa-rica,134,17
Slovakia,450,24,|,costa-rica,158,24
Slovakia,471,21,|,costa-rica,177,19
Slovakia,485,14,|,costa-rica,201,24
Slovakia,534,49,|,costa-rica,231,30
Slovakia,581,47,|,costa-rica,263,32
Slovakia,682,101,|,costa-rica,295,32
Slovakia,701,19,|,costa-rica,314,19
Slovakia,715,14,|,costa-rica,330,16
Slovakia,,,|,costa-rica,347,17
Slovakia,,,|,costa-rica,375,28
Slovakia,,,|,costa-rica,396,21
Slovakia,,,|,costa-rica,416,20
Slovakia,,,|,costa-rica,435,19
Slovakia,,,|,costa-rica,454,19
Slovakia,,,|,costa-rica,467,13
Slovakia,,,|,costa-rica,483,16
Slovakia,,,|,costa-rica,502,19
Slovakia,,,|,costa-rica,539,37
Slovakia,,,|,costa-rica,558,19
Slovakia,,,|,costa-rica,577,19
