Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Slovakia,44,,|,cyprus,2,-614
Slovakia,54,10,|,cyprus,3,1
Slovakia,63,9,|,cyprus,6,3
Slovakia,72,9,|,cyprus,6,0
Slovakia,105,33,|,cyprus,14,8
Slovakia,123,18,|,cyprus,26,12
Slovakia,137,14,|,cyprus,26,0
Slovakia,178,41,|,cyprus,33,7
Slovakia,185,7,|,cyprus,46,13
Slovakia,186,1,|,cyprus,49,3
Slovakia,204,18,|,cyprus,67,18
Slovakia,216,12,|,cyprus,67,0
Slovakia,226,10,|,cyprus,84,17
Slovakia,269,43,|,cyprus,95,11
Slovakia,292,23,|,cyprus,116,21
Slovakia,314,22,|,cyprus,124,8
Slovakia,336,22,|,cyprus,132,8
Slovakia,363,27,|,cyprus,146,14
Slovakia,400,37,|,cyprus,162,16
Slovakia,426,26,|,cyprus,179,17
Slovakia,450,24,|,cyprus,214,35
Slovakia,471,21,|,cyprus,230,16
Slovakia,485,14,|,cyprus,262,32
Slovakia,534,49,|,cyprus,320,58
Slovakia,581,47,|,cyprus,356,36
Slovakia,682,101,|,cyprus,396,40
Slovakia,701,19,|,cyprus,426,30
Slovakia,715,14,|,cyprus,446,20
Slovakia,,,|,cyprus,465,19
Slovakia,,,|,cyprus,494,29
Slovakia,,,|,cyprus,526,32
Slovakia,,,|,cyprus,564,38
Slovakia,,,|,cyprus,595,31
Slovakia,,,|,cyprus,616,21
