Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Slovakia,204,,|,kazakhstan,4,-861
Slovakia,216,12,|,kazakhstan,6,2
Slovakia,226,10,|,kazakhstan,9,3
Slovakia,269,43,|,kazakhstan,10,1
Slovakia,292,23,|,kazakhstan,33,23
Slovakia,314,22,|,kazakhstan,35,2
Slovakia,336,22,|,kazakhstan,44,9
Slovakia,363,27,|,kazakhstan,49,5
Slovakia,400,37,|,kazakhstan,53,4
Slovakia,426,26,|,kazakhstan,60,7
Slovakia,450,24,|,kazakhstan,62,2
Slovakia,471,21,|,kazakhstan,72,10
Slovakia,485,14,|,kazakhstan,81,9
Slovakia,534,49,|,kazakhstan,111,30
Slovakia,581,47,|,kazakhstan,150,39
Slovakia,682,101,|,kazakhstan,228,78
Slovakia,701,19,|,kazakhstan,284,56
Slovakia,715,14,|,kazakhstan,302,18
Slovakia,,,|,kazakhstan,343,41
Slovakia,,,|,kazakhstan,380,37
Slovakia,,,|,kazakhstan,435,55
Slovakia,,,|,kazakhstan,464,29
Slovakia,,,|,kazakhstan,531,67
Slovakia,,,|,kazakhstan,584,53
Slovakia,,,|,kazakhstan,662,78
Slovakia,,,|,kazakhstan,697,35
Slovakia,,,|,kazakhstan,727,30
Slovakia,,,|,kazakhstan,781,54
Slovakia,,,|,kazakhstan,812,31
Slovakia,,,|,kazakhstan,865,53
