Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Slovakia,,,|,lithuania,1,-1025
Slovakia,,,|,lithuania,1,0
Slovakia,,,|,lithuania,1,0
Slovakia,1,,|,lithuania,1,0
Slovakia,1,0,|,lithuania,1,0
Slovakia,3,2,|,lithuania,1,0
Slovakia,3,0,|,lithuania,1,0
Slovakia,7,4,|,lithuania,1,0
Slovakia,10,3,|,lithuania,1,0
Slovakia,16,6,|,lithuania,1,0
Slovakia,32,16,|,lithuania,1,0
Slovakia,44,12,|,lithuania,1,0
Slovakia,54,10,|,lithuania,3,2
Slovakia,63,9,|,lithuania,3,0
Slovakia,72,9,|,lithuania,6,3
Slovakia,105,33,|,lithuania,8,2
Slovakia,123,18,|,lithuania,12,4
Slovakia,137,14,|,lithuania,17,5
Slovakia,178,41,|,lithuania,25,8
Slovakia,185,7,|,lithuania,27,2
Slovakia,186,1,|,lithuania,36,9
Slovakia,204,18,|,lithuania,49,13
Slovakia,216,12,|,lithuania,83,34
Slovakia,226,10,|,lithuania,143,60
Slovakia,269,43,|,lithuania,179,36
Slovakia,292,23,|,lithuania,209,30
Slovakia,314,22,|,lithuania,274,65
Slovakia,336,22,|,lithuania,299,25
Slovakia,363,27,|,lithuania,358,59
Slovakia,400,37,|,lithuania,394,36
Slovakia,426,26,|,lithuania,460,66
Slovakia,450,24,|,lithuania,491,31
Slovakia,471,21,|,lithuania,537,46
Slovakia,485,14,|,lithuania,581,44
Slovakia,534,49,|,lithuania,649,68
Slovakia,581,47,|,lithuania,696,47
Slovakia,682,101,|,lithuania,771,75
Slovakia,701,19,|,lithuania,811,40
Slovakia,715,14,|,lithuania,843,32
Slovakia,728,13,|,lithuania,880,37
Slovakia,,,|,lithuania,912,32
Slovakia,,,|,lithuania,955,43
Slovakia,,,|,lithuania,999,44
Slovakia,,,|,lithuania,1026,27
