Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Slovakia,,,|,macedonia,1,-759
Slovakia,,,|,macedonia,1,0
Slovakia,,,|,macedonia,1,0
Slovakia,,,|,macedonia,1,0
Slovakia,,,|,macedonia,1,0
Slovakia,,,|,macedonia,1,0
Slovakia,1,,|,macedonia,1,0
Slovakia,1,0,|,macedonia,1,0
Slovakia,3,2,|,macedonia,1,0
Slovakia,3,0,|,macedonia,3,2
Slovakia,7,4,|,macedonia,3,0
Slovakia,10,3,|,macedonia,3,0
Slovakia,16,6,|,macedonia,3,0
Slovakia,32,16,|,macedonia,7,4
Slovakia,44,12,|,macedonia,7,0
Slovakia,54,10,|,macedonia,7,0
Slovakia,63,9,|,macedonia,14,7
Slovakia,72,9,|,macedonia,14,0
Slovakia,105,33,|,macedonia,14,0
Slovakia,123,18,|,macedonia,18,4
Slovakia,137,14,|,macedonia,26,8
Slovakia,178,41,|,macedonia,35,9
Slovakia,185,7,|,macedonia,48,13
Slovakia,186,1,|,macedonia,67,19
Slovakia,204,18,|,macedonia,85,18
Slovakia,216,12,|,macedonia,115,30
Slovakia,226,10,|,macedonia,136,21
Slovakia,269,43,|,macedonia,148,12
Slovakia,292,23,|,macedonia,177,29
Slovakia,314,22,|,macedonia,201,24
Slovakia,336,22,|,macedonia,219,18
Slovakia,363,27,|,macedonia,241,22
Slovakia,400,37,|,macedonia,259,18
Slovakia,426,26,|,macedonia,285,26
Slovakia,450,24,|,macedonia,329,44
Slovakia,471,21,|,macedonia,354,25
Slovakia,485,14,|,macedonia,384,30
Slovakia,534,49,|,macedonia,430,46
Slovakia,581,47,|,macedonia,483,53
Slovakia,682,101,|,macedonia,555,72
Slovakia,701,19,|,macedonia,570,15
Slovakia,715,14,|,macedonia,599,29
Slovakia,728,13,|,macedonia,617,18
Slovakia,,,|,macedonia,663,46
Slovakia,,,|,macedonia,711,48
Slovakia,,,|,macedonia,760,49
