Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Slovakia,,,|,singapore,1,-2298
Slovakia,,,|,singapore,3,2
Slovakia,,,|,singapore,3,0
Slovakia,,,|,singapore,4,1
Slovakia,,,|,singapore,5,1
Slovakia,,,|,singapore,7,2
Slovakia,,,|,singapore,7,0
Slovakia,,,|,singapore,10,3
Slovakia,,,|,singapore,13,3
Slovakia,,,|,singapore,16,3
Slovakia,,,|,singapore,18,2
Slovakia,,,|,singapore,18,0
Slovakia,,,|,singapore,24,6
Slovakia,,,|,singapore,28,4
Slovakia,,,|,singapore,28,0
Slovakia,,,|,singapore,30,2
Slovakia,,,|,singapore,33,3
Slovakia,,,|,singapore,40,7
Slovakia,,,|,singapore,45,5
Slovakia,,,|,singapore,47,2
Slovakia,,,|,singapore,50,3
Slovakia,,,|,singapore,58,8
Slovakia,,,|,singapore,67,9
Slovakia,,,|,singapore,72,5
Slovakia,,,|,singapore,75,3
Slovakia,,,|,singapore,77,2
Slovakia,,,|,singapore,81,4
Slovakia,,,|,singapore,84,3
Slovakia,,,|,singapore,84,0
Slovakia,,,|,singapore,85,1
Slovakia,,,|,singapore,85,0
Slovakia,,,|,singapore,89,4
Slovakia,1,,|,singapore,89,0
Slovakia,1,0,|,singapore,91,2
Slovakia,3,2,|,singapore,93,2
Slovakia,3,0,|,singapore,93,0
Slovakia,7,4,|,singapore,93,0
Slovakia,10,3,|,singapore,102,9
Slovakia,16,6,|,singapore,106,4
Slovakia,32,16,|,singapore,108,2
Slovakia,44,12,|,singapore,110,2
Slovakia,54,10,|,singapore,110,0
Slovakia,63,9,|,singapore,117,7
Slovakia,72,9,|,singapore,130,13
Slovakia,105,33,|,singapore,138,8
Slovakia,123,18,|,singapore,150,12
Slovakia,137,14,|,singapore,150,0
Slovakia,178,41,|,singapore,160,10
Slovakia,185,7,|,singapore,178,18
Slovakia,186,1,|,singapore,178,0
Slovakia,204,18,|,singapore,200,22
Slovakia,216,12,|,singapore,212,12
Slovakia,226,10,|,singapore,226,14
Slovakia,269,43,|,singapore,243,17
Slovakia,292,23,|,singapore,266,23
Slovakia,314,22,|,singapore,313,47
Slovakia,336,22,|,singapore,345,32
Slovakia,363,27,|,singapore,385,40
Slovakia,400,37,|,singapore,432,47
Slovakia,426,26,|,singapore,455,23
Slovakia,450,24,|,singapore,509,54
Slovakia,471,21,|,singapore,558,49
Slovakia,485,14,|,singapore,631,73
Slovakia,534,49,|,singapore,683,52
Slovakia,581,47,|,singapore,732,49
Slovakia,682,101,|,singapore,802,70
Slovakia,701,19,|,singapore,844,42
Slovakia,715,14,|,singapore,879,35
Slovakia,728,13,|,singapore,926,47
Slovakia,,,|,singapore,1000,74
Slovakia,,,|,singapore,1049,49
Slovakia,,,|,singapore,1114,65
Slovakia,,,|,singapore,1189,75
Slovakia,,,|,singapore,1309,120
Slovakia,,,|,singapore,1375,66
Slovakia,,,|,singapore,1481,106
Slovakia,,,|,singapore,1623,142
Slovakia,,,|,singapore,1910,287
Slovakia,,,|,singapore,2108,198
Slovakia,,,|,singapore,2299,191
