Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
"Taiwan, Republic of China",42,,|,canada,1,-23315
"Taiwan, Republic of China",42,0,|,canada,1,0
"Taiwan, Republic of China",44,2,|,canada,2,1
"Taiwan, Republic of China",45,1,|,canada,2,0
"Taiwan, Republic of China",45,0,|,canada,2,0
"Taiwan, Republic of China",45,0,|,canada,4,2
"Taiwan, Republic of China",45,0,|,canada,4,0
"Taiwan, Republic of China",47,2,|,canada,4,0
"Taiwan, Republic of China",48,1,|,canada,4,0
"Taiwan, Republic of China",49,1,|,canada,4,0
"Taiwan, Republic of China",50,1,|,canada,5,1
"Taiwan, Republic of China",53,3,|,canada,5,0
"Taiwan, Republic of China",59,6,|,canada,7,2
"Taiwan, Republic of China",67,8,|,canada,7,0
"Taiwan, Republic of China",77,10,|,canada,7,0
"Taiwan, Republic of China",100,23,|,canada,7,0
"Taiwan, Republic of China",108,8,|,canada,7,0
"Taiwan, Republic of China",135,27,|,canada,7,0
"Taiwan, Republic of China",153,18,|,canada,7,0
"Taiwan, Republic of China",169,16,|,canada,7,0
"Taiwan, Republic of China",195,26,|,canada,7,0
"Taiwan, Republic of China",215,20,|,canada,7,0
"Taiwan, Republic of China",235,20,|,canada,8,1
"Taiwan, Republic of China",252,17,|,canada,8,0
"Taiwan, Republic of China",267,15,|,canada,8,0
"Taiwan, Republic of China",283,16,|,canada,8,0
"Taiwan, Republic of China",298,15,|,canada,9,1
"Taiwan, Republic of China",306,8,|,canada,9,0
"Taiwan, Republic of China",322,16,|,canada,9,0
"Taiwan, Republic of China",329,7,|,canada,10,1
"Taiwan, Republic of China",339,10,|,canada,11,1
"Taiwan, Republic of China",348,9,|,canada,11,0
"Taiwan, Republic of China",355,7,|,canada,13,2
"Taiwan, Republic of China",363,8,|,canada,14,1
"Taiwan, Republic of China",373,10,|,canada,20,6
"Taiwan, Republic of China",376,3,|,canada,24,4
"Taiwan, Republic of China",379,3,|,canada,27,3
"Taiwan, Republic of China",380,1,|,canada,30,3
"Taiwan, Republic of China",382,2,|,canada,33,3
"Taiwan, Republic of China",,,|,canada,37,4
"Taiwan, Republic of China",,,|,canada,49,12
"Taiwan, Republic of China",,,|,canada,54,5
"Taiwan, Republic of China",,,|,canada,64,10
"Taiwan, Republic of China",,,|,canada,77,13
"Taiwan, Republic of China",,,|,canada,79,2
"Taiwan, Republic of China",,,|,canada,108,29
"Taiwan, Republic of China",,,|,canada,117,9
"Taiwan, Republic of China",,,|,canada,193,76
"Taiwan, Republic of China",,,|,canada,198,5
"Taiwan, Republic of China",,,|,canada,252,54
"Taiwan, Republic of China",,,|,canada,415,163
"Taiwan, Republic of China",,,|,canada,478,63
"Taiwan, Republic of China",,,|,canada,657,179
"Taiwan, Republic of China",,,|,canada,800,143
"Taiwan, Republic of China",,,|,canada,943,143
"Taiwan, Republic of China",,,|,canada,1277,334
"Taiwan, Republic of China",,,|,canada,1469,192
"Taiwan, Republic of China",,,|,canada,2088,619
"Taiwan, Republic of China",,,|,canada,2790,702
"Taiwan, Republic of China",,,|,canada,3251,461
"Taiwan, Republic of China",,,|,canada,4042,791
"Taiwan, Republic of China",,,|,canada,4682,640
"Taiwan, Republic of China",,,|,canada,5576,894
"Taiwan, Republic of China",,,|,canada,6280,704
"Taiwan, Republic of China",,,|,canada,7398,1118
"Taiwan, Republic of China",,,|,canada,8527,1129
"Taiwan, Republic of China",,,|,canada,9560,1033
"Taiwan, Republic of China",,,|,canada,11284,1724
"Taiwan, Republic of China",,,|,canada,12437,1153
"Taiwan, Republic of China",,,|,canada,12978,541
"Taiwan, Republic of China",,,|,canada,15756,2778
"Taiwan, Republic of China",,,|,canada,16563,807
"Taiwan, Republic of China",,,|,canada,17872,1309
"Taiwan, Republic of China",,,|,canada,19141,1269
"Taiwan, Republic of China",,,|,canada,20654,1513
"Taiwan, Republic of China",,,|,canada,22059,1405
"Taiwan, Republic of China",,,|,canada,23316,1257
