Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
"Taiwan, Republic of China",329,,|,mali,2,-85
"Taiwan, Republic of China",339,10,|,mali,4,2
"Taiwan, Republic of China",348,9,|,mali,11,7
"Taiwan, Republic of China",355,7,|,mali,18,7
"Taiwan, Republic of China",363,8,|,mali,18,0
"Taiwan, Republic of China",373,10,|,mali,25,7
"Taiwan, Republic of China",376,3,|,mali,28,3
"Taiwan, Republic of China",379,3,|,mali,31,3
"Taiwan, Republic of China",380,1,|,mali,36,5
"Taiwan, Republic of China",382,2,|,mali,39,3
"Taiwan, Republic of China",,,|,mali,41,2
"Taiwan, Republic of China",,,|,mali,45,4
"Taiwan, Republic of China",,,|,mali,47,2
"Taiwan, Republic of China",,,|,mali,56,9
"Taiwan, Republic of China",,,|,mali,59,3
"Taiwan, Republic of China",,,|,mali,74,15
"Taiwan, Republic of China",,,|,mali,87,13
"Taiwan, Republic of China",,,|,mali,87,0
