Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
"Taiwan, Republic of China",100,,|,paraguay,1,-132
"Taiwan, Republic of China",108,8,|,paraguay,1,0
"Taiwan, Republic of China",135,27,|,paraguay,1,0
"Taiwan, Republic of China",153,18,|,paraguay,5,4
"Taiwan, Republic of China",169,16,|,paraguay,5,0
"Taiwan, Republic of China",195,26,|,paraguay,6,1
"Taiwan, Republic of China",215,20,|,paraguay,6,0
"Taiwan, Republic of China",235,20,|,paraguay,6,0
"Taiwan, Republic of China",252,17,|,paraguay,8,2
"Taiwan, Republic of China",267,15,|,paraguay,9,1
"Taiwan, Republic of China",283,16,|,paraguay,11,2
"Taiwan, Republic of China",298,15,|,paraguay,11,0
"Taiwan, Republic of China",306,8,|,paraguay,13,2
"Taiwan, Republic of China",322,16,|,paraguay,18,5
"Taiwan, Republic of China",329,7,|,paraguay,22,4
"Taiwan, Republic of China",339,10,|,paraguay,22,0
"Taiwan, Republic of China",348,9,|,paraguay,27,5
"Taiwan, Republic of China",355,7,|,paraguay,37,10
"Taiwan, Republic of China",363,8,|,paraguay,41,4
"Taiwan, Republic of China",373,10,|,paraguay,52,11
"Taiwan, Republic of China",376,3,|,paraguay,56,4
"Taiwan, Republic of China",379,3,|,paraguay,59,3
"Taiwan, Republic of China",380,1,|,paraguay,64,5
"Taiwan, Republic of China",382,2,|,paraguay,65,1
"Taiwan, Republic of China",,,|,paraguay,69,4
"Taiwan, Republic of China",,,|,paraguay,77,8
"Taiwan, Republic of China",,,|,paraguay,92,15
"Taiwan, Republic of China",,,|,paraguay,96,4
"Taiwan, Republic of China",,,|,paraguay,104,8
"Taiwan, Republic of China",,,|,paraguay,113,9
"Taiwan, Republic of China",,,|,paraguay,115,2
"Taiwan, Republic of China",,,|,paraguay,119,4
"Taiwan, Republic of China",,,|,paraguay,124,5
"Taiwan, Republic of China",,,|,paraguay,129,5
"Taiwan, Republic of China",,,|,paraguay,133,4
