Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
"Taiwan, Republic of China",41,,|,russia,2,-13582
"Taiwan, Republic of China",42,1,|,russia,2,0
"Taiwan, Republic of China",42,0,|,russia,2,0
"Taiwan, Republic of China",44,2,|,russia,2,0
"Taiwan, Republic of China",45,1,|,russia,2,0
"Taiwan, Republic of China",45,0,|,russia,2,0
"Taiwan, Republic of China",45,0,|,russia,2,0
"Taiwan, Republic of China",45,0,|,russia,2,0
"Taiwan, Republic of China",47,2,|,russia,2,0
"Taiwan, Republic of China",48,1,|,russia,2,0
"Taiwan, Republic of China",49,1,|,russia,2,0
"Taiwan, Republic of China",50,1,|,russia,2,0
"Taiwan, Republic of China",53,3,|,russia,2,0
"Taiwan, Republic of China",59,6,|,russia,2,0
"Taiwan, Republic of China",67,8,|,russia,2,0
"Taiwan, Republic of China",77,10,|,russia,2,0
"Taiwan, Republic of China",100,23,|,russia,2,0
"Taiwan, Republic of China",108,8,|,russia,2,0
"Taiwan, Republic of China",135,27,|,russia,2,0
"Taiwan, Republic of China",153,18,|,russia,2,0
"Taiwan, Republic of China",169,16,|,russia,2,0
"Taiwan, Republic of China",195,26,|,russia,2,0
"Taiwan, Republic of China",215,20,|,russia,2,0
"Taiwan, Republic of China",235,20,|,russia,2,0
"Taiwan, Republic of China",252,17,|,russia,2,0
"Taiwan, Republic of China",267,15,|,russia,2,0
"Taiwan, Republic of China",283,16,|,russia,2,0
"Taiwan, Republic of China",298,15,|,russia,2,0
"Taiwan, Republic of China",306,8,|,russia,2,0
"Taiwan, Republic of China",322,16,|,russia,2,0
"Taiwan, Republic of China",329,7,|,russia,2,0
"Taiwan, Republic of China",339,10,|,russia,3,1
"Taiwan, Republic of China",348,9,|,russia,3,0
"Taiwan, Republic of China",355,7,|,russia,3,0
"Taiwan, Republic of China",363,8,|,russia,4,1
"Taiwan, Republic of China",373,10,|,russia,13,9
"Taiwan, Republic of China",376,3,|,russia,13,0
"Taiwan, Republic of China",379,3,|,russia,17,4
"Taiwan, Republic of China",380,1,|,russia,17,0
"Taiwan, Republic of China",382,2,|,russia,20,3
"Taiwan, Republic of China",,,|,russia,20,0
"Taiwan, Republic of China",,,|,russia,28,8
"Taiwan, Republic of China",,,|,russia,45,17
"Taiwan, Republic of China",,,|,russia,59,14
"Taiwan, Republic of China",,,|,russia,63,4
"Taiwan, Republic of China",,,|,russia,90,27
"Taiwan, Republic of China",,,|,russia,114,24
"Taiwan, Republic of China",,,|,russia,147,33
"Taiwan, Republic of China",,,|,russia,199,52
"Taiwan, Republic of China",,,|,russia,253,54
"Taiwan, Republic of China",,,|,russia,306,53
"Taiwan, Republic of China",,,|,russia,367,61
"Taiwan, Republic of China",,,|,russia,438,71
"Taiwan, Republic of China",,,|,russia,495,57
"Taiwan, Republic of China",,,|,russia,658,163
"Taiwan, Republic of China",,,|,russia,840,182
"Taiwan, Republic of China",,,|,russia,1036,196
"Taiwan, Republic of China",,,|,russia,1264,228
"Taiwan, Republic of China",,,|,russia,1534,270
"Taiwan, Republic of China",,,|,russia,1836,302
"Taiwan, Republic of China",,,|,russia,2337,501
"Taiwan, Republic of China",,,|,russia,2777,440
"Taiwan, Republic of China",,,|,russia,3548,771
"Taiwan, Republic of China",,,|,russia,4149,601
"Taiwan, Republic of China",,,|,russia,4731,582
"Taiwan, Republic of China",,,|,russia,5389,658
"Taiwan, Republic of China",,,|,russia,6343,954
"Taiwan, Republic of China",,,|,russia,7497,1154
"Taiwan, Republic of China",,,|,russia,8672,1175
"Taiwan, Republic of China",,,|,russia,10131,1459
"Taiwan, Republic of China",,,|,russia,11917,1786
"Taiwan, Republic of China",,,|,russia,13584,1667
