Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
"Taiwan, Republic of China",49,,|,togo,1,-75
"Taiwan, Republic of China",50,1,|,togo,1,0
"Taiwan, Republic of China",53,3,|,togo,1,0
"Taiwan, Republic of China",59,6,|,togo,1,0
"Taiwan, Republic of China",67,8,|,togo,1,0
"Taiwan, Republic of China",77,10,|,togo,1,0
"Taiwan, Republic of China",100,23,|,togo,1,0
"Taiwan, Republic of China",108,8,|,togo,1,0
"Taiwan, Republic of China",135,27,|,togo,1,0
"Taiwan, Republic of China",153,18,|,togo,1,0
"Taiwan, Republic of China",169,16,|,togo,1,0
"Taiwan, Republic of China",195,26,|,togo,1,0
"Taiwan, Republic of China",215,20,|,togo,1,0
"Taiwan, Republic of China",235,20,|,togo,1,0
"Taiwan, Republic of China",252,17,|,togo,9,8
"Taiwan, Republic of China",267,15,|,togo,16,7
"Taiwan, Republic of China",283,16,|,togo,16,0
"Taiwan, Republic of China",298,15,|,togo,18,2
"Taiwan, Republic of China",306,8,|,togo,20,2
"Taiwan, Republic of China",322,16,|,togo,23,3
"Taiwan, Republic of China",329,7,|,togo,23,0
"Taiwan, Republic of China",339,10,|,togo,25,2
"Taiwan, Republic of China",348,9,|,togo,25,0
"Taiwan, Republic of China",355,7,|,togo,25,0
"Taiwan, Republic of China",363,8,|,togo,30,5
"Taiwan, Republic of China",373,10,|,togo,34,4
"Taiwan, Republic of China",376,3,|,togo,36,2
"Taiwan, Republic of China",379,3,|,togo,39,3
"Taiwan, Republic of China",380,1,|,togo,40,1
"Taiwan, Republic of China",382,2,|,togo,41,1
"Taiwan, Republic of China",,,|,togo,44,3
"Taiwan, Republic of China",,,|,togo,58,14
"Taiwan, Republic of China",,,|,togo,65,7
"Taiwan, Republic of China",,,|,togo,70,5
"Taiwan, Republic of China",,,|,togo,73,3
"Taiwan, Republic of China",,,|,togo,76,3
"Taiwan, Republic of China",,,|,togo,76,0
