Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
"Taiwan, Republic of China",195,,|,trinidad-and-tobago,2,-110
"Taiwan, Republic of China",215,20,|,trinidad-and-tobago,2,0
"Taiwan, Republic of China",235,20,|,trinidad-and-tobago,4,2
"Taiwan, Republic of China",252,17,|,trinidad-and-tobago,5,1
"Taiwan, Republic of China",267,15,|,trinidad-and-tobago,7,2
"Taiwan, Republic of China",283,16,|,trinidad-and-tobago,9,2
"Taiwan, Republic of China",298,15,|,trinidad-and-tobago,9,0
"Taiwan, Republic of China",306,8,|,trinidad-and-tobago,49,40
"Taiwan, Republic of China",322,16,|,trinidad-and-tobago,50,1
"Taiwan, Republic of China",329,7,|,trinidad-and-tobago,51,1
"Taiwan, Republic of China",339,10,|,trinidad-and-tobago,57,6
"Taiwan, Republic of China",348,9,|,trinidad-and-tobago,60,3
"Taiwan, Republic of China",355,7,|,trinidad-and-tobago,65,5
"Taiwan, Republic of China",363,8,|,trinidad-and-tobago,66,1
"Taiwan, Republic of China",373,10,|,trinidad-and-tobago,74,8
"Taiwan, Republic of China",376,3,|,trinidad-and-tobago,78,4
"Taiwan, Republic of China",379,3,|,trinidad-and-tobago,82,4
"Taiwan, Republic of China",380,1,|,trinidad-and-tobago,87,5
"Taiwan, Republic of China",382,2,|,trinidad-and-tobago,90,3
"Taiwan, Republic of China",,,|,trinidad-and-tobago,94,4
"Taiwan, Republic of China",,,|,trinidad-and-tobago,98,4
"Taiwan, Republic of China",,,|,trinidad-and-tobago,103,5
"Taiwan, Republic of China",,,|,trinidad-and-tobago,104,1
"Taiwan, Republic of China",,,|,trinidad-and-tobago,105,1
"Taiwan, Republic of China",,,|,trinidad-and-tobago,107,2
"Taiwan, Republic of China",,,|,trinidad-and-tobago,107,0
"Taiwan, Republic of China",,,|,trinidad-and-tobago,109,2
"Taiwan, Republic of China",,,|,trinidad-and-tobago,109,0
"Taiwan, Republic of China",,,|,trinidad-and-tobago,112,3
