Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Thailand,41,,|,egypt,1,-1938
Thailand,42,1,|,egypt,1,0
Thailand,42,0,|,egypt,1,0
Thailand,43,1,|,egypt,1,0
Thailand,43,0,|,egypt,1,0
Thailand,43,0,|,egypt,1,0
Thailand,47,4,|,egypt,1,0
Thailand,48,1,|,egypt,1,0
Thailand,50,2,|,egypt,1,0
Thailand,50,0,|,egypt,1,0
Thailand,50,0,|,egypt,1,0
Thailand,53,3,|,egypt,1,0
Thailand,59,6,|,egypt,1,0
Thailand,70,11,|,egypt,1,0
Thailand,75,5,|,egypt,1,0
Thailand,82,7,|,egypt,1,0
Thailand,114,32,|,egypt,2,1
Thailand,147,33,|,egypt,2,0
Thailand,177,30,|,egypt,2,0
Thailand,212,35,|,egypt,2,0
Thailand,272,60,|,egypt,3,1
Thailand,322,50,|,egypt,15,12
Thailand,411,89,|,egypt,15,0
Thailand,599,188,|,egypt,49,34
Thailand,721,122,|,egypt,55,6
Thailand,827,106,|,egypt,59,4
Thailand,934,107,|,egypt,60,1
Thailand,1045,111,|,egypt,67,7
Thailand,1136,91,|,egypt,80,13
Thailand,1245,109,|,egypt,109,29
Thailand,1388,143,|,egypt,110,1
Thailand,1524,136,|,egypt,150,40
Thailand,1651,127,|,egypt,196,46
Thailand,1771,120,|,egypt,196,0
Thailand,1875,104,|,egypt,256,60
Thailand,1978,103,|,egypt,285,29
Thailand,2067,89,|,egypt,294,9
Thailand,2169,102,|,egypt,327,33
Thailand,2220,51,|,egypt,366,39
Thailand,2258,38,|,egypt,402,36
Thailand,2369,111,|,egypt,456,54
Thailand,2423,54,|,egypt,495,39
Thailand,2473,50,|,egypt,536,41
Thailand,,,|,egypt,576,40
Thailand,,,|,egypt,609,33
Thailand,,,|,egypt,656,47
Thailand,,,|,egypt,710,54
Thailand,,,|,egypt,779,69
Thailand,,,|,egypt,865,86
Thailand,,,|,egypt,985,120
Thailand,,,|,egypt,1070,85
Thailand,,,|,egypt,1173,103
Thailand,,,|,egypt,1322,149
Thailand,,,|,egypt,1450,128
Thailand,,,|,egypt,1560,110
Thailand,,,|,egypt,1699,139
Thailand,,,|,egypt,1794,95
Thailand,,,|,egypt,1939,145
