Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Thailand,53,,|,hungary,2,-1308
Thailand,59,6,|,hungary,2,0
Thailand,70,11,|,hungary,2,0
Thailand,75,5,|,hungary,4,2
Thailand,82,7,|,hungary,7,3
Thailand,114,32,|,hungary,9,2
Thailand,147,33,|,hungary,9,0
Thailand,177,30,|,hungary,13,4
Thailand,212,35,|,hungary,13,0
Thailand,272,60,|,hungary,19,6
Thailand,322,50,|,hungary,30,11
Thailand,411,89,|,hungary,32,2
Thailand,599,188,|,hungary,39,7
Thailand,721,122,|,hungary,50,11
Thailand,827,106,|,hungary,58,8
Thailand,934,107,|,hungary,73,15
Thailand,1045,111,|,hungary,85,12
Thailand,1136,91,|,hungary,103,18
Thailand,1245,109,|,hungary,131,28
Thailand,1388,143,|,hungary,167,36
Thailand,1524,136,|,hungary,187,20
Thailand,1651,127,|,hungary,226,39
Thailand,1771,120,|,hungary,261,35
Thailand,1875,104,|,hungary,300,39
Thailand,1978,103,|,hungary,343,43
Thailand,2067,89,|,hungary,408,65
Thailand,2169,102,|,hungary,447,39
Thailand,2220,51,|,hungary,492,45
Thailand,2258,38,|,hungary,525,33
Thailand,2369,111,|,hungary,585,60
Thailand,2423,54,|,hungary,623,38
Thailand,2473,50,|,hungary,678,55
Thailand,,,|,hungary,733,55
Thailand,,,|,hungary,744,11
Thailand,,,|,hungary,817,73
Thailand,,,|,hungary,895,78
Thailand,,,|,hungary,980,85
Thailand,,,|,hungary,1190,210
Thailand,,,|,hungary,1310,120
