Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Thailand,50,,|,lithuania,1,-1025
Thailand,53,3,|,lithuania,1,0
Thailand,59,6,|,lithuania,1,0
Thailand,70,11,|,lithuania,1,0
Thailand,75,5,|,lithuania,1,0
Thailand,82,7,|,lithuania,1,0
Thailand,114,32,|,lithuania,1,0
Thailand,147,33,|,lithuania,1,0
Thailand,177,30,|,lithuania,1,0
Thailand,212,35,|,lithuania,1,0
Thailand,272,60,|,lithuania,1,0
Thailand,322,50,|,lithuania,1,0
Thailand,411,89,|,lithuania,3,2
Thailand,599,188,|,lithuania,3,0
Thailand,721,122,|,lithuania,6,3
Thailand,827,106,|,lithuania,8,2
Thailand,934,107,|,lithuania,12,4
Thailand,1045,111,|,lithuania,17,5
Thailand,1136,91,|,lithuania,25,8
Thailand,1245,109,|,lithuania,27,2
Thailand,1388,143,|,lithuania,36,9
Thailand,1524,136,|,lithuania,49,13
Thailand,1651,127,|,lithuania,83,34
Thailand,1771,120,|,lithuania,143,60
Thailand,1875,104,|,lithuania,179,36
Thailand,1978,103,|,lithuania,209,30
Thailand,2067,89,|,lithuania,274,65
Thailand,2169,102,|,lithuania,299,25
Thailand,2220,51,|,lithuania,358,59
Thailand,2258,38,|,lithuania,394,36
Thailand,2369,111,|,lithuania,460,66
Thailand,2423,54,|,lithuania,491,31
Thailand,2473,50,|,lithuania,537,46
Thailand,,,|,lithuania,581,44
Thailand,,,|,lithuania,649,68
Thailand,,,|,lithuania,696,47
Thailand,,,|,lithuania,771,75
Thailand,,,|,lithuania,811,40
Thailand,,,|,lithuania,843,32
Thailand,,,|,lithuania,880,37
Thailand,,,|,lithuania,912,32
Thailand,,,|,lithuania,955,43
Thailand,,,|,lithuania,999,44
Thailand,,,|,lithuania,1026,27
