Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Thailand,25,,|,singapore,1,-2298
Thailand,25,0,|,singapore,3,2
Thailand,32,7,|,singapore,3,0
Thailand,32,0,|,singapore,4,1
Thailand,32,0,|,singapore,5,1
Thailand,33,1,|,singapore,7,2
Thailand,33,0,|,singapore,7,0
Thailand,33,0,|,singapore,10,3
Thailand,33,0,|,singapore,13,3
Thailand,33,0,|,singapore,16,3
Thailand,34,1,|,singapore,18,2
Thailand,35,1,|,singapore,18,0
Thailand,35,0,|,singapore,24,6
Thailand,35,0,|,singapore,28,4
Thailand,35,0,|,singapore,28,0
Thailand,35,0,|,singapore,30,2
Thailand,35,0,|,singapore,33,3
Thailand,35,0,|,singapore,40,7
Thailand,35,0,|,singapore,45,5
Thailand,37,2,|,singapore,47,2
Thailand,40,3,|,singapore,50,3
Thailand,40,0,|,singapore,58,8
Thailand,41,1,|,singapore,67,9
Thailand,42,1,|,singapore,72,5
Thailand,42,0,|,singapore,75,3
Thailand,43,1,|,singapore,77,2
Thailand,43,0,|,singapore,81,4
Thailand,43,0,|,singapore,84,3
Thailand,47,4,|,singapore,84,0
Thailand,48,1,|,singapore,85,1
Thailand,50,2,|,singapore,85,0
Thailand,50,0,|,singapore,89,4
Thailand,50,0,|,singapore,89,0
Thailand,53,3,|,singapore,91,2
Thailand,59,6,|,singapore,93,2
Thailand,70,11,|,singapore,93,0
Thailand,75,5,|,singapore,93,0
Thailand,82,7,|,singapore,102,9
Thailand,114,32,|,singapore,106,4
Thailand,147,33,|,singapore,108,2
Thailand,177,30,|,singapore,110,2
Thailand,212,35,|,singapore,110,0
Thailand,272,60,|,singapore,117,7
Thailand,322,50,|,singapore,130,13
Thailand,411,89,|,singapore,138,8
Thailand,599,188,|,singapore,150,12
Thailand,721,122,|,singapore,150,0
Thailand,827,106,|,singapore,160,10
Thailand,934,107,|,singapore,178,18
Thailand,1045,111,|,singapore,178,0
Thailand,1136,91,|,singapore,200,22
Thailand,1245,109,|,singapore,212,12
Thailand,1388,143,|,singapore,226,14
Thailand,1524,136,|,singapore,243,17
Thailand,1651,127,|,singapore,266,23
Thailand,1771,120,|,singapore,313,47
Thailand,1875,104,|,singapore,345,32
Thailand,1978,103,|,singapore,385,40
Thailand,2067,89,|,singapore,432,47
Thailand,2169,102,|,singapore,455,23
Thailand,2220,51,|,singapore,509,54
Thailand,2258,38,|,singapore,558,49
Thailand,2369,111,|,singapore,631,73
Thailand,2423,54,|,singapore,683,52
Thailand,2473,50,|,singapore,732,49
Thailand,,,|,singapore,802,70
Thailand,,,|,singapore,844,42
Thailand,,,|,singapore,879,35
Thailand,,,|,singapore,926,47
Thailand,,,|,singapore,1000,74
Thailand,,,|,singapore,1049,49
Thailand,,,|,singapore,1114,65
Thailand,,,|,singapore,1189,75
Thailand,,,|,singapore,1309,120
Thailand,,,|,singapore,1375,66
Thailand,,,|,singapore,1481,106
Thailand,,,|,singapore,1623,142
Thailand,,,|,singapore,1910,287
Thailand,,,|,singapore,2108,198
Thailand,,,|,singapore,2299,191
