Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Thailand,177,,|,uzbekistan,1,-766
Thailand,212,35,|,uzbekistan,6,5
Thailand,272,60,|,uzbekistan,10,4
Thailand,322,50,|,uzbekistan,15,5
Thailand,411,89,|,uzbekistan,23,8
Thailand,599,188,|,uzbekistan,33,10
Thailand,721,122,|,uzbekistan,43,10
Thailand,827,106,|,uzbekistan,43,0
Thailand,934,107,|,uzbekistan,46,3
Thailand,1045,111,|,uzbekistan,50,4
Thailand,1136,91,|,uzbekistan,60,10
Thailand,1245,109,|,uzbekistan,75,15
Thailand,1388,143,|,uzbekistan,88,13
Thailand,1524,136,|,uzbekistan,104,16
Thailand,1651,127,|,uzbekistan,144,40
Thailand,1771,120,|,uzbekistan,149,5
Thailand,1875,104,|,uzbekistan,172,23
Thailand,1978,103,|,uzbekistan,181,9
Thailand,2067,89,|,uzbekistan,205,24
Thailand,2169,102,|,uzbekistan,227,22
Thailand,2220,51,|,uzbekistan,266,39
Thailand,2258,38,|,uzbekistan,342,76
Thailand,2369,111,|,uzbekistan,457,115
Thailand,2423,54,|,uzbekistan,520,63
Thailand,2473,50,|,uzbekistan,545,25
Thailand,,,|,uzbekistan,582,37
Thailand,,,|,uzbekistan,624,42
Thailand,,,|,uzbekistan,767,143
