Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Trinidad and Tobago,98,,|,equatorial-guinea,1,-17
Trinidad and Tobago,103,5,|,equatorial-guinea,1,0
Trinidad and Tobago,104,1,|,equatorial-guinea,1,0
Trinidad and Tobago,105,1,|,equatorial-guinea,4,3
Trinidad and Tobago,107,2,|,equatorial-guinea,6,2
Trinidad and Tobago,107,0,|,equatorial-guinea,6,0
Trinidad and Tobago,109,2,|,equatorial-guinea,6,0
Trinidad and Tobago,109,0,|,equatorial-guinea,6,0
Trinidad and Tobago,,,|,equatorial-guinea,9,3
Trinidad and Tobago,,,|,equatorial-guinea,9,0
Trinidad and Tobago,,,|,equatorial-guinea,9,0
Trinidad and Tobago,,,|,equatorial-guinea,12,3
Trinidad and Tobago,,,|,equatorial-guinea,12,0
Trinidad and Tobago,,,|,equatorial-guinea,12,0
Trinidad and Tobago,,,|,equatorial-guinea,12,0
Trinidad and Tobago,,,|,equatorial-guinea,12,0
Trinidad and Tobago,,,|,equatorial-guinea,12,0
Trinidad and Tobago,,,|,equatorial-guinea,15,3
Trinidad and Tobago,,,|,equatorial-guinea,15,0
Trinidad and Tobago,,,|,equatorial-guinea,16,1
Trinidad and Tobago,,,|,equatorial-guinea,16,0
Trinidad and Tobago,,,|,equatorial-guinea,16,0
Trinidad and Tobago,,,|,equatorial-guinea,16,0
Trinidad and Tobago,,,|,equatorial-guinea,16,0
Trinidad and Tobago,,,|,equatorial-guinea,18,2
Trinidad and Tobago,,,|,equatorial-guinea,18,0
Trinidad and Tobago,,,|,equatorial-guinea,18,0
Trinidad and Tobago,,,|,equatorial-guinea,18,0
