Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Trinidad and Tobago,74,,|,lithuania,1,-1025
Trinidad and Tobago,78,4,|,lithuania,1,0
Trinidad and Tobago,82,4,|,lithuania,1,0
Trinidad and Tobago,87,5,|,lithuania,1,0
Trinidad and Tobago,90,3,|,lithuania,1,0
Trinidad and Tobago,94,4,|,lithuania,1,0
Trinidad and Tobago,98,4,|,lithuania,1,0
Trinidad and Tobago,103,5,|,lithuania,1,0
Trinidad and Tobago,104,1,|,lithuania,1,0
Trinidad and Tobago,105,1,|,lithuania,1,0
Trinidad and Tobago,107,2,|,lithuania,1,0
Trinidad and Tobago,107,0,|,lithuania,1,0
Trinidad and Tobago,109,2,|,lithuania,3,2
Trinidad and Tobago,109,0,|,lithuania,3,0
Trinidad and Tobago,,,|,lithuania,6,3
Trinidad and Tobago,,,|,lithuania,8,2
Trinidad and Tobago,,,|,lithuania,12,4
Trinidad and Tobago,,,|,lithuania,17,5
Trinidad and Tobago,,,|,lithuania,25,8
Trinidad and Tobago,,,|,lithuania,27,2
Trinidad and Tobago,,,|,lithuania,36,9
Trinidad and Tobago,,,|,lithuania,49,13
Trinidad and Tobago,,,|,lithuania,83,34
Trinidad and Tobago,,,|,lithuania,143,60
Trinidad and Tobago,,,|,lithuania,179,36
Trinidad and Tobago,,,|,lithuania,209,30
Trinidad and Tobago,,,|,lithuania,274,65
Trinidad and Tobago,,,|,lithuania,299,25
Trinidad and Tobago,,,|,lithuania,358,59
Trinidad and Tobago,,,|,lithuania,394,36
Trinidad and Tobago,,,|,lithuania,460,66
Trinidad and Tobago,,,|,lithuania,491,31
Trinidad and Tobago,,,|,lithuania,537,46
Trinidad and Tobago,,,|,lithuania,581,44
Trinidad and Tobago,,,|,lithuania,649,68
Trinidad and Tobago,,,|,lithuania,696,47
Trinidad and Tobago,,,|,lithuania,771,75
Trinidad and Tobago,,,|,lithuania,811,40
Trinidad and Tobago,,,|,lithuania,843,32
Trinidad and Tobago,,,|,lithuania,880,37
Trinidad and Tobago,,,|,lithuania,912,32
Trinidad and Tobago,,,|,lithuania,955,43
Trinidad and Tobago,,,|,lithuania,999,44
Trinidad and Tobago,,,|,lithuania,1026,27
