Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Trinidad and Tobago,78,,|,macedonia,1,-759
Trinidad and Tobago,82,4,|,macedonia,1,0
Trinidad and Tobago,87,5,|,macedonia,1,0
Trinidad and Tobago,90,3,|,macedonia,1,0
Trinidad and Tobago,94,4,|,macedonia,1,0
Trinidad and Tobago,98,4,|,macedonia,1,0
Trinidad and Tobago,103,5,|,macedonia,1,0
Trinidad and Tobago,104,1,|,macedonia,1,0
Trinidad and Tobago,105,1,|,macedonia,1,0
Trinidad and Tobago,107,2,|,macedonia,3,2
Trinidad and Tobago,107,0,|,macedonia,3,0
Trinidad and Tobago,109,2,|,macedonia,3,0
Trinidad and Tobago,109,0,|,macedonia,3,0
Trinidad and Tobago,,,|,macedonia,7,4
Trinidad and Tobago,,,|,macedonia,7,0
Trinidad and Tobago,,,|,macedonia,7,0
Trinidad and Tobago,,,|,macedonia,14,7
Trinidad and Tobago,,,|,macedonia,14,0
Trinidad and Tobago,,,|,macedonia,14,0
Trinidad and Tobago,,,|,macedonia,18,4
Trinidad and Tobago,,,|,macedonia,26,8
Trinidad and Tobago,,,|,macedonia,35,9
Trinidad and Tobago,,,|,macedonia,48,13
Trinidad and Tobago,,,|,macedonia,67,19
Trinidad and Tobago,,,|,macedonia,85,18
Trinidad and Tobago,,,|,macedonia,115,30
Trinidad and Tobago,,,|,macedonia,136,21
Trinidad and Tobago,,,|,macedonia,148,12
Trinidad and Tobago,,,|,macedonia,177,29
Trinidad and Tobago,,,|,macedonia,201,24
Trinidad and Tobago,,,|,macedonia,219,18
Trinidad and Tobago,,,|,macedonia,241,22
Trinidad and Tobago,,,|,macedonia,259,18
Trinidad and Tobago,,,|,macedonia,285,26
Trinidad and Tobago,,,|,macedonia,329,44
Trinidad and Tobago,,,|,macedonia,354,25
Trinidad and Tobago,,,|,macedonia,384,30
Trinidad and Tobago,,,|,macedonia,430,46
Trinidad and Tobago,,,|,macedonia,483,53
Trinidad and Tobago,,,|,macedonia,555,72
Trinidad and Tobago,,,|,macedonia,570,15
Trinidad and Tobago,,,|,macedonia,599,29
Trinidad and Tobago,,,|,macedonia,617,18
Trinidad and Tobago,,,|,macedonia,663,46
Trinidad and Tobago,,,|,macedonia,711,48
Trinidad and Tobago,,,|,macedonia,760,49
