Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Trinidad and Tobago,103,,|,maldives,4,-15
Trinidad and Tobago,104,1,|,maldives,4,0
Trinidad and Tobago,105,1,|,maldives,6,2
Trinidad and Tobago,107,2,|,maldives,8,2
Trinidad and Tobago,107,0,|,maldives,8,0
Trinidad and Tobago,109,2,|,maldives,9,1
Trinidad and Tobago,109,0,|,maldives,10,1
Trinidad and Tobago,,,|,maldives,13,3
Trinidad and Tobago,,,|,maldives,13,0
Trinidad and Tobago,,,|,maldives,13,0
Trinidad and Tobago,,,|,maldives,13,0
Trinidad and Tobago,,,|,maldives,13,0
Trinidad and Tobago,,,|,maldives,13,0
Trinidad and Tobago,,,|,maldives,13,0
Trinidad and Tobago,,,|,maldives,13,0
Trinidad and Tobago,,,|,maldives,13,0
Trinidad and Tobago,,,|,maldives,13,0
Trinidad and Tobago,,,|,maldives,13,0
Trinidad and Tobago,,,|,maldives,13,0
Trinidad and Tobago,,,|,maldives,16,3
Trinidad and Tobago,,,|,maldives,16,0
Trinidad and Tobago,,,|,maldives,17,1
Trinidad and Tobago,,,|,maldives,17,0
Trinidad and Tobago,,,|,maldives,18,1
Trinidad and Tobago,,,|,maldives,19,1
Trinidad and Tobago,,,|,maldives,19,0
Trinidad and Tobago,,,|,maldives,19,0
Trinidad and Tobago,,,|,maldives,19,0
Trinidad and Tobago,,,|,maldives,19,0
Trinidad and Tobago,,,|,maldives,19,0
Trinidad and Tobago,,,|,maldives,19,0
Trinidad and Tobago,,,|,maldives,19,0
Trinidad and Tobago,,,|,maldives,19,0
Trinidad and Tobago,,,|,maldives,19,0
Trinidad and Tobago,,,|,maldives,19,0
