Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Trinidad and Tobago,,,|,nepal,1,-8
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,,,|,nepal,1,0
Trinidad and Tobago,2,,|,nepal,1,0
Trinidad and Tobago,2,0,|,nepal,1,0
Trinidad and Tobago,4,2,|,nepal,1,0
Trinidad and Tobago,5,1,|,nepal,1,0
Trinidad and Tobago,7,2,|,nepal,1,0
Trinidad and Tobago,9,2,|,nepal,1,0
Trinidad and Tobago,9,0,|,nepal,1,0
Trinidad and Tobago,49,40,|,nepal,1,0
Trinidad and Tobago,50,1,|,nepal,1,0
Trinidad and Tobago,51,1,|,nepal,1,0
Trinidad and Tobago,57,6,|,nepal,1,0
Trinidad and Tobago,60,3,|,nepal,1,0
Trinidad and Tobago,65,5,|,nepal,1,0
Trinidad and Tobago,66,1,|,nepal,1,0
Trinidad and Tobago,74,8,|,nepal,1,0
Trinidad and Tobago,78,4,|,nepal,1,0
Trinidad and Tobago,82,4,|,nepal,2,1
Trinidad and Tobago,87,5,|,nepal,2,0
Trinidad and Tobago,90,3,|,nepal,3,1
Trinidad and Tobago,94,4,|,nepal,3,0
Trinidad and Tobago,98,4,|,nepal,4,1
Trinidad and Tobago,103,5,|,nepal,5,1
Trinidad and Tobago,104,1,|,nepal,5,0
Trinidad and Tobago,105,1,|,nepal,5,0
Trinidad and Tobago,107,2,|,nepal,5,0
Trinidad and Tobago,107,0,|,nepal,5,0
Trinidad and Tobago,109,2,|,nepal,6,1
Trinidad and Tobago,109,0,|,nepal,6,0
Trinidad and Tobago,112,3,|,nepal,9,3
Trinidad and Tobago,,,|,nepal,9,0
Trinidad and Tobago,,,|,nepal,9,0
Trinidad and Tobago,,,|,nepal,9,0
Trinidad and Tobago,,,|,nepal,9,0
Trinidad and Tobago,,,|,nepal,9,0
Trinidad and Tobago,,,|,nepal,9,0
Trinidad and Tobago,,,|,nepal,9,0
