Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Trinidad and Tobago,82,,|,paraguay,1,-132
Trinidad and Tobago,87,5,|,paraguay,1,0
Trinidad and Tobago,90,3,|,paraguay,1,0
Trinidad and Tobago,94,4,|,paraguay,5,4
Trinidad and Tobago,98,4,|,paraguay,5,0
Trinidad and Tobago,103,5,|,paraguay,6,1
Trinidad and Tobago,104,1,|,paraguay,6,0
Trinidad and Tobago,105,1,|,paraguay,6,0
Trinidad and Tobago,107,2,|,paraguay,8,2
Trinidad and Tobago,107,0,|,paraguay,9,1
Trinidad and Tobago,109,2,|,paraguay,11,2
Trinidad and Tobago,109,0,|,paraguay,11,0
Trinidad and Tobago,,,|,paraguay,13,2
Trinidad and Tobago,,,|,paraguay,18,5
Trinidad and Tobago,,,|,paraguay,22,4
Trinidad and Tobago,,,|,paraguay,22,0
Trinidad and Tobago,,,|,paraguay,27,5
Trinidad and Tobago,,,|,paraguay,37,10
Trinidad and Tobago,,,|,paraguay,41,4
Trinidad and Tobago,,,|,paraguay,52,11
Trinidad and Tobago,,,|,paraguay,56,4
Trinidad and Tobago,,,|,paraguay,59,3
Trinidad and Tobago,,,|,paraguay,64,5
Trinidad and Tobago,,,|,paraguay,65,1
Trinidad and Tobago,,,|,paraguay,69,4
Trinidad and Tobago,,,|,paraguay,77,8
Trinidad and Tobago,,,|,paraguay,92,15
Trinidad and Tobago,,,|,paraguay,96,4
Trinidad and Tobago,,,|,paraguay,104,8
Trinidad and Tobago,,,|,paraguay,113,9
Trinidad and Tobago,,,|,paraguay,115,2
Trinidad and Tobago,,,|,paraguay,119,4
Trinidad and Tobago,,,|,paraguay,124,5
Trinidad and Tobago,,,|,paraguay,129,5
Trinidad and Tobago,,,|,paraguay,133,4
