Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Trinidad and Tobago,103,,|,singapore,1,-2298
Trinidad and Tobago,104,1,|,singapore,3,2
Trinidad and Tobago,105,1,|,singapore,3,0
Trinidad and Tobago,107,2,|,singapore,4,1
Trinidad and Tobago,107,0,|,singapore,5,1
Trinidad and Tobago,109,2,|,singapore,7,2
Trinidad and Tobago,109,0,|,singapore,7,0
Trinidad and Tobago,,,|,singapore,10,3
Trinidad and Tobago,,,|,singapore,13,3
Trinidad and Tobago,,,|,singapore,16,3
Trinidad and Tobago,,,|,singapore,18,2
Trinidad and Tobago,,,|,singapore,18,0
Trinidad and Tobago,,,|,singapore,24,6
Trinidad and Tobago,,,|,singapore,28,4
Trinidad and Tobago,,,|,singapore,28,0
Trinidad and Tobago,,,|,singapore,30,2
Trinidad and Tobago,,,|,singapore,33,3
Trinidad and Tobago,,,|,singapore,40,7
Trinidad and Tobago,,,|,singapore,45,5
Trinidad and Tobago,,,|,singapore,47,2
Trinidad and Tobago,,,|,singapore,50,3
Trinidad and Tobago,,,|,singapore,58,8
Trinidad and Tobago,,,|,singapore,67,9
Trinidad and Tobago,,,|,singapore,72,5
Trinidad and Tobago,,,|,singapore,75,3
Trinidad and Tobago,,,|,singapore,77,2
Trinidad and Tobago,,,|,singapore,81,4
Trinidad and Tobago,,,|,singapore,84,3
Trinidad and Tobago,,,|,singapore,84,0
Trinidad and Tobago,,,|,singapore,85,1
Trinidad and Tobago,,,|,singapore,85,0
Trinidad and Tobago,,,|,singapore,89,4
Trinidad and Tobago,,,|,singapore,89,0
Trinidad and Tobago,,,|,singapore,91,2
Trinidad and Tobago,,,|,singapore,93,2
Trinidad and Tobago,,,|,singapore,93,0
Trinidad and Tobago,,,|,singapore,93,0
Trinidad and Tobago,,,|,singapore,102,9
Trinidad and Tobago,,,|,singapore,106,4
Trinidad and Tobago,,,|,singapore,108,2
Trinidad and Tobago,,,|,singapore,110,2
Trinidad and Tobago,,,|,singapore,110,0
Trinidad and Tobago,,,|,singapore,117,7
Trinidad and Tobago,,,|,singapore,130,13
Trinidad and Tobago,,,|,singapore,138,8
Trinidad and Tobago,,,|,singapore,150,12
Trinidad and Tobago,,,|,singapore,150,0
Trinidad and Tobago,,,|,singapore,160,10
Trinidad and Tobago,,,|,singapore,178,18
Trinidad and Tobago,,,|,singapore,178,0
Trinidad and Tobago,,,|,singapore,200,22
Trinidad and Tobago,,,|,singapore,212,12
Trinidad and Tobago,,,|,singapore,226,14
Trinidad and Tobago,,,|,singapore,243,17
Trinidad and Tobago,,,|,singapore,266,23
Trinidad and Tobago,,,|,singapore,313,47
Trinidad and Tobago,,,|,singapore,345,32
Trinidad and Tobago,,,|,singapore,385,40
Trinidad and Tobago,,,|,singapore,432,47
Trinidad and Tobago,,,|,singapore,455,23
Trinidad and Tobago,,,|,singapore,509,54
Trinidad and Tobago,,,|,singapore,558,49
Trinidad and Tobago,,,|,singapore,631,73
Trinidad and Tobago,,,|,singapore,683,52
Trinidad and Tobago,,,|,singapore,732,49
Trinidad and Tobago,,,|,singapore,802,70
Trinidad and Tobago,,,|,singapore,844,42
Trinidad and Tobago,,,|,singapore,879,35
Trinidad and Tobago,,,|,singapore,926,47
Trinidad and Tobago,,,|,singapore,1000,74
Trinidad and Tobago,,,|,singapore,1049,49
Trinidad and Tobago,,,|,singapore,1114,65
Trinidad and Tobago,,,|,singapore,1189,75
Trinidad and Tobago,,,|,singapore,1309,120
Trinidad and Tobago,,,|,singapore,1375,66
Trinidad and Tobago,,,|,singapore,1481,106
Trinidad and Tobago,,,|,singapore,1623,142
Trinidad and Tobago,,,|,singapore,1910,287
Trinidad and Tobago,,,|,singapore,2108,198
Trinidad and Tobago,,,|,singapore,2299,191
