Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Trinidad and Tobago,104,,|,taiwan,1,-384
Trinidad and Tobago,105,1,|,taiwan,1,0
Trinidad and Tobago,107,2,|,taiwan,3,2
Trinidad and Tobago,107,0,|,taiwan,3,0
Trinidad and Tobago,109,2,|,taiwan,4,1
Trinidad and Tobago,109,0,|,taiwan,5,1
Trinidad and Tobago,,,|,taiwan,8,3
Trinidad and Tobago,,,|,taiwan,8,0
Trinidad and Tobago,,,|,taiwan,9,1
Trinidad and Tobago,,,|,taiwan,10,1
Trinidad and Tobago,,,|,taiwan,10,0
Trinidad and Tobago,,,|,taiwan,10,0
Trinidad and Tobago,,,|,taiwan,10,0
Trinidad and Tobago,,,|,taiwan,11,1
Trinidad and Tobago,,,|,taiwan,11,0
Trinidad and Tobago,,,|,taiwan,16,5
Trinidad and Tobago,,,|,taiwan,16,0
Trinidad and Tobago,,,|,taiwan,17,1
Trinidad and Tobago,,,|,taiwan,18,1
Trinidad and Tobago,,,|,taiwan,18,0
Trinidad and Tobago,,,|,taiwan,18,0
Trinidad and Tobago,,,|,taiwan,18,0
Trinidad and Tobago,,,|,taiwan,18,0
Trinidad and Tobago,,,|,taiwan,18,0
Trinidad and Tobago,,,|,taiwan,18,0
Trinidad and Tobago,,,|,taiwan,20,2
Trinidad and Tobago,,,|,taiwan,22,2
Trinidad and Tobago,,,|,taiwan,22,0
Trinidad and Tobago,,,|,taiwan,23,1
Trinidad and Tobago,,,|,taiwan,24,1
Trinidad and Tobago,,,|,taiwan,26,2
Trinidad and Tobago,,,|,taiwan,26,0
Trinidad and Tobago,,,|,taiwan,28,2
Trinidad and Tobago,,,|,taiwan,30,2
Trinidad and Tobago,,,|,taiwan,31,1
Trinidad and Tobago,,,|,taiwan,32,1
Trinidad and Tobago,,,|,taiwan,32,0
Trinidad and Tobago,,,|,taiwan,34,2
Trinidad and Tobago,,,|,taiwan,39,5
Trinidad and Tobago,,,|,taiwan,40,1
Trinidad and Tobago,,,|,taiwan,41,1
Trinidad and Tobago,,,|,taiwan,42,1
Trinidad and Tobago,,,|,taiwan,42,0
Trinidad and Tobago,,,|,taiwan,44,2
Trinidad and Tobago,,,|,taiwan,45,1
Trinidad and Tobago,,,|,taiwan,45,0
Trinidad and Tobago,,,|,taiwan,45,0
Trinidad and Tobago,,,|,taiwan,45,0
Trinidad and Tobago,,,|,taiwan,47,2
Trinidad and Tobago,,,|,taiwan,48,1
Trinidad and Tobago,,,|,taiwan,49,1
Trinidad and Tobago,,,|,taiwan,50,1
Trinidad and Tobago,,,|,taiwan,53,3
Trinidad and Tobago,,,|,taiwan,59,6
Trinidad and Tobago,,,|,taiwan,67,8
Trinidad and Tobago,,,|,taiwan,77,10
Trinidad and Tobago,,,|,taiwan,100,23
Trinidad and Tobago,,,|,taiwan,108,8
Trinidad and Tobago,,,|,taiwan,135,27
Trinidad and Tobago,,,|,taiwan,153,18
Trinidad and Tobago,,,|,taiwan,169,16
Trinidad and Tobago,,,|,taiwan,195,26
Trinidad and Tobago,,,|,taiwan,215,20
Trinidad and Tobago,,,|,taiwan,235,20
Trinidad and Tobago,,,|,taiwan,252,17
Trinidad and Tobago,,,|,taiwan,267,15
Trinidad and Tobago,,,|,taiwan,283,16
Trinidad and Tobago,,,|,taiwan,298,15
Trinidad and Tobago,,,|,taiwan,306,8
Trinidad and Tobago,,,|,taiwan,322,16
Trinidad and Tobago,,,|,taiwan,329,7
Trinidad and Tobago,,,|,taiwan,339,10
Trinidad and Tobago,,,|,taiwan,348,9
Trinidad and Tobago,,,|,taiwan,355,7
Trinidad and Tobago,,,|,taiwan,363,8
Trinidad and Tobago,,,|,taiwan,373,10
Trinidad and Tobago,,,|,taiwan,376,3
Trinidad and Tobago,,,|,taiwan,379,3
Trinidad and Tobago,,,|,taiwan,380,1
Trinidad and Tobago,,,|,taiwan,382,2
Trinidad and Tobago,,,|,taiwan,385,3
