Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Uzbekistan,1,,|,israel,1,-10742
Uzbekistan,6,5,|,israel,1,0
Uzbekistan,10,4,|,israel,1,0
Uzbekistan,15,5,|,israel,1,0
Uzbekistan,23,8,|,israel,1,0
Uzbekistan,33,10,|,israel,2,1
Uzbekistan,43,10,|,israel,3,1
Uzbekistan,43,0,|,israel,4,1
Uzbekistan,46,3,|,israel,7,3
Uzbekistan,50,4,|,israel,10,3
Uzbekistan,60,10,|,israel,10,0
Uzbekistan,75,15,|,israel,12,2
Uzbekistan,88,13,|,israel,15,3
Uzbekistan,104,16,|,israel,20,5
Uzbekistan,144,40,|,israel,37,17
Uzbekistan,149,5,|,israel,43,6
Uzbekistan,172,23,|,israel,61,18
Uzbekistan,181,9,|,israel,61,0
Uzbekistan,205,24,|,israel,75,14
Uzbekistan,227,22,|,israel,79,4
Uzbekistan,266,39,|,israel,100,21
Uzbekistan,342,76,|,israel,126,26
Uzbekistan,457,115,|,israel,155,29
Uzbekistan,520,63,|,israel,213,58
Uzbekistan,545,25,|,israel,218,5
Uzbekistan,582,37,|,israel,250,32
Uzbekistan,624,42,|,israel,304,54
Uzbekistan,767,143,|,israel,427,123
Uzbekistan,,,|,israel,529,102
Uzbekistan,,,|,israel,712,183
Uzbekistan,,,|,israel,883,171
Uzbekistan,,,|,israel,1071,188
Uzbekistan,,,|,israel,1238,167
Uzbekistan,,,|,israel,2369,1131
Uzbekistan,,,|,israel,2693,324
Uzbekistan,,,|,israel,3035,342
Uzbekistan,,,|,israel,3619,584
Uzbekistan,,,|,israel,4247,628
Uzbekistan,,,|,israel,4695,448
Uzbekistan,,,|,israel,5358,663
Uzbekistan,,,|,israel,6092,734
Uzbekistan,,,|,israel,6857,765
Uzbekistan,,,|,israel,7428,571
Uzbekistan,,,|,israel,7851,423
Uzbekistan,,,|,israel,8430,579
Uzbekistan,,,|,israel,8904,474
Uzbekistan,,,|,israel,9248,344
Uzbekistan,,,|,israel,9404,156
Uzbekistan,,,|,israel,9968,564
Uzbekistan,,,|,israel,10408,440
Uzbekistan,,,|,israel,10743,335
