Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Uzbekistan,43,,|,kazakhstan,4,-861
Uzbekistan,46,3,|,kazakhstan,6,2
Uzbekistan,50,4,|,kazakhstan,9,3
Uzbekistan,60,10,|,kazakhstan,10,1
Uzbekistan,75,15,|,kazakhstan,33,23
Uzbekistan,88,13,|,kazakhstan,35,2
Uzbekistan,104,16,|,kazakhstan,44,9
Uzbekistan,144,40,|,kazakhstan,49,5
Uzbekistan,149,5,|,kazakhstan,53,4
Uzbekistan,172,23,|,kazakhstan,60,7
Uzbekistan,181,9,|,kazakhstan,62,2
Uzbekistan,205,24,|,kazakhstan,72,10
Uzbekistan,227,22,|,kazakhstan,81,9
Uzbekistan,266,39,|,kazakhstan,111,30
Uzbekistan,342,76,|,kazakhstan,150,39
Uzbekistan,457,115,|,kazakhstan,228,78
Uzbekistan,520,63,|,kazakhstan,284,56
Uzbekistan,545,25,|,kazakhstan,302,18
Uzbekistan,582,37,|,kazakhstan,343,41
Uzbekistan,624,42,|,kazakhstan,380,37
Uzbekistan,,,|,kazakhstan,435,55
Uzbekistan,,,|,kazakhstan,464,29
Uzbekistan,,,|,kazakhstan,531,67
Uzbekistan,,,|,kazakhstan,584,53
Uzbekistan,,,|,kazakhstan,662,78
Uzbekistan,,,|,kazakhstan,697,35
Uzbekistan,,,|,kazakhstan,727,30
Uzbekistan,,,|,kazakhstan,781,54
Uzbekistan,,,|,kazakhstan,812,31
Uzbekistan,,,|,kazakhstan,865,53
