Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Uzbekistan,,,|,morocco,1,-1544
Uzbekistan,,,|,morocco,1,0
Uzbekistan,,,|,morocco,1,0
Uzbekistan,,,|,morocco,2,1
Uzbekistan,,,|,morocco,2,0
Uzbekistan,,,|,morocco,2,0
Uzbekistan,1,,|,morocco,2,0
Uzbekistan,6,5,|,morocco,2,0
Uzbekistan,10,4,|,morocco,3,1
Uzbekistan,15,5,|,morocco,5,2
Uzbekistan,23,8,|,morocco,6,1
Uzbekistan,33,10,|,morocco,7,1
Uzbekistan,43,10,|,morocco,17,10
Uzbekistan,43,0,|,morocco,28,11
Uzbekistan,46,3,|,morocco,29,1
Uzbekistan,50,4,|,morocco,38,9
Uzbekistan,60,10,|,morocco,49,11
Uzbekistan,75,15,|,morocco,63,14
Uzbekistan,88,13,|,morocco,77,14
Uzbekistan,104,16,|,morocco,96,19
Uzbekistan,144,40,|,morocco,115,19
Uzbekistan,149,5,|,morocco,143,28
Uzbekistan,172,23,|,morocco,170,27
Uzbekistan,181,9,|,morocco,225,55
Uzbekistan,205,24,|,morocco,275,50
Uzbekistan,227,22,|,morocco,345,70
Uzbekistan,266,39,|,morocco,402,57
Uzbekistan,342,76,|,morocco,479,77
Uzbekistan,457,115,|,morocco,556,77
Uzbekistan,520,63,|,morocco,617,61
Uzbekistan,545,25,|,morocco,654,37
Uzbekistan,582,37,|,morocco,708,54
Uzbekistan,624,42,|,morocco,791,83
Uzbekistan,767,143,|,morocco,919,128
Uzbekistan,,,|,morocco,1021,102
Uzbekistan,,,|,morocco,1120,99
Uzbekistan,,,|,morocco,1184,64
Uzbekistan,,,|,morocco,1275,91
Uzbekistan,,,|,morocco,1374,99
Uzbekistan,,,|,morocco,1448,74
Uzbekistan,,,|,morocco,1545,97
