Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Uzbekistan,43,,|,peru,1,-6847
Uzbekistan,46,3,|,peru,1,0
Uzbekistan,50,4,|,peru,6,5
Uzbekistan,60,10,|,peru,7,1
Uzbekistan,75,15,|,peru,11,4
Uzbekistan,88,13,|,peru,11,0
Uzbekistan,104,16,|,peru,15,4
Uzbekistan,144,40,|,peru,28,13
Uzbekistan,149,5,|,peru,38,10
Uzbekistan,172,23,|,peru,43,5
Uzbekistan,181,9,|,peru,86,43
Uzbekistan,205,24,|,peru,117,31
Uzbekistan,227,22,|,peru,145,28
Uzbekistan,266,39,|,peru,234,89
Uzbekistan,342,76,|,peru,234,0
Uzbekistan,457,115,|,peru,318,84
Uzbekistan,520,63,|,peru,363,45
Uzbekistan,545,25,|,peru,395,32
Uzbekistan,582,37,|,peru,416,21
Uzbekistan,624,42,|,peru,480,64
Uzbekistan,,,|,peru,580,100
Uzbekistan,,,|,peru,635,55
Uzbekistan,,,|,peru,671,36
Uzbekistan,,,|,peru,852,181
Uzbekistan,,,|,peru,950,98
Uzbekistan,,,|,peru,1065,115
Uzbekistan,,,|,peru,1323,258
Uzbekistan,,,|,peru,1414,91
Uzbekistan,,,|,peru,1595,181
Uzbekistan,,,|,peru,1746,151
Uzbekistan,,,|,peru,2281,535
Uzbekistan,,,|,peru,2561,280
Uzbekistan,,,|,peru,2954,393
Uzbekistan,,,|,peru,4342,1388
Uzbekistan,,,|,peru,5256,914
Uzbekistan,,,|,peru,5897,641
Uzbekistan,,,|,peru,6848,951
