Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Uzbekistan,6,,|,romania,1,-5989
Uzbekistan,10,4,|,romania,1,0
Uzbekistan,15,5,|,romania,3,2
Uzbekistan,23,8,|,romania,3,0
Uzbekistan,33,10,|,romania,3,0
Uzbekistan,43,10,|,romania,3,0
Uzbekistan,43,0,|,romania,3,0
Uzbekistan,46,3,|,romania,4,1
Uzbekistan,50,4,|,romania,6,2
Uzbekistan,60,10,|,romania,9,3
Uzbekistan,75,15,|,romania,9,0
Uzbekistan,88,13,|,romania,15,6
Uzbekistan,104,16,|,romania,15,0
Uzbekistan,144,40,|,romania,25,10
Uzbekistan,149,5,|,romania,45,20
Uzbekistan,172,23,|,romania,49,4
Uzbekistan,181,9,|,romania,89,40
Uzbekistan,205,24,|,romania,123,34
Uzbekistan,227,22,|,romania,131,8
Uzbekistan,266,39,|,romania,158,27
Uzbekistan,342,76,|,romania,184,26
Uzbekistan,457,115,|,romania,260,76
Uzbekistan,520,63,|,romania,277,17
Uzbekistan,545,25,|,romania,308,31
Uzbekistan,582,37,|,romania,367,59
Uzbekistan,624,42,|,romania,433,66
Uzbekistan,,,|,romania,576,143
Uzbekistan,,,|,romania,794,218
Uzbekistan,,,|,romania,906,112
Uzbekistan,,,|,romania,1029,123
Uzbekistan,,,|,romania,1292,263
Uzbekistan,,,|,romania,1452,160
Uzbekistan,,,|,romania,1815,363
Uzbekistan,,,|,romania,2109,294
Uzbekistan,,,|,romania,2245,136
Uzbekistan,,,|,romania,2460,215
Uzbekistan,,,|,romania,2738,278
Uzbekistan,,,|,romania,3183,445
Uzbekistan,,,|,romania,3613,430
Uzbekistan,,,|,romania,3864,251
Uzbekistan,,,|,romania,4057,193
Uzbekistan,,,|,romania,4417,360
Uzbekistan,,,|,romania,4761,344
Uzbekistan,,,|,romania,5202,441
Uzbekistan,,,|,romania,5467,265
Uzbekistan,,,|,romania,5990,523
