Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Uzbekistan,,,|,singapore,1,-2298
Uzbekistan,,,|,singapore,3,2
Uzbekistan,,,|,singapore,3,0
Uzbekistan,,,|,singapore,4,1
Uzbekistan,,,|,singapore,5,1
Uzbekistan,,,|,singapore,7,2
Uzbekistan,,,|,singapore,7,0
Uzbekistan,,,|,singapore,10,3
Uzbekistan,,,|,singapore,13,3
Uzbekistan,,,|,singapore,16,3
Uzbekistan,,,|,singapore,18,2
Uzbekistan,,,|,singapore,18,0
Uzbekistan,,,|,singapore,24,6
Uzbekistan,,,|,singapore,28,4
Uzbekistan,,,|,singapore,28,0
Uzbekistan,,,|,singapore,30,2
Uzbekistan,,,|,singapore,33,3
Uzbekistan,,,|,singapore,40,7
Uzbekistan,,,|,singapore,45,5
Uzbekistan,,,|,singapore,47,2
Uzbekistan,,,|,singapore,50,3
Uzbekistan,,,|,singapore,58,8
Uzbekistan,,,|,singapore,67,9
Uzbekistan,,,|,singapore,72,5
Uzbekistan,,,|,singapore,75,3
Uzbekistan,,,|,singapore,77,2
Uzbekistan,,,|,singapore,81,4
Uzbekistan,,,|,singapore,84,3
Uzbekistan,,,|,singapore,84,0
Uzbekistan,,,|,singapore,85,1
Uzbekistan,,,|,singapore,85,0
Uzbekistan,,,|,singapore,89,4
Uzbekistan,,,|,singapore,89,0
Uzbekistan,,,|,singapore,91,2
Uzbekistan,,,|,singapore,93,2
Uzbekistan,,,|,singapore,93,0
Uzbekistan,,,|,singapore,93,0
Uzbekistan,,,|,singapore,102,9
Uzbekistan,,,|,singapore,106,4
Uzbekistan,,,|,singapore,108,2
Uzbekistan,,,|,singapore,110,2
Uzbekistan,,,|,singapore,110,0
Uzbekistan,1,,|,singapore,117,7
Uzbekistan,6,5,|,singapore,130,13
Uzbekistan,10,4,|,singapore,138,8
Uzbekistan,15,5,|,singapore,150,12
Uzbekistan,23,8,|,singapore,150,0
Uzbekistan,33,10,|,singapore,160,10
Uzbekistan,43,10,|,singapore,178,18
Uzbekistan,43,0,|,singapore,178,0
Uzbekistan,46,3,|,singapore,200,22
Uzbekistan,50,4,|,singapore,212,12
Uzbekistan,60,10,|,singapore,226,14
Uzbekistan,75,15,|,singapore,243,17
Uzbekistan,88,13,|,singapore,266,23
Uzbekistan,104,16,|,singapore,313,47
Uzbekistan,144,40,|,singapore,345,32
Uzbekistan,149,5,|,singapore,385,40
Uzbekistan,172,23,|,singapore,432,47
Uzbekistan,181,9,|,singapore,455,23
Uzbekistan,205,24,|,singapore,509,54
Uzbekistan,227,22,|,singapore,558,49
Uzbekistan,266,39,|,singapore,631,73
Uzbekistan,342,76,|,singapore,683,52
Uzbekistan,457,115,|,singapore,732,49
Uzbekistan,520,63,|,singapore,802,70
Uzbekistan,545,25,|,singapore,844,42
Uzbekistan,582,37,|,singapore,879,35
Uzbekistan,624,42,|,singapore,926,47
Uzbekistan,767,143,|,singapore,1000,74
Uzbekistan,,,|,singapore,1049,49
Uzbekistan,,,|,singapore,1114,65
Uzbekistan,,,|,singapore,1189,75
Uzbekistan,,,|,singapore,1309,120
Uzbekistan,,,|,singapore,1375,66
Uzbekistan,,,|,singapore,1481,106
Uzbekistan,,,|,singapore,1623,142
Uzbekistan,,,|,singapore,1910,287
Uzbekistan,,,|,singapore,2108,198
Uzbekistan,,,|,singapore,2299,191
