Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Uzbekistan,,,|,thailand,2,-2516
Uzbekistan,,,|,thailand,3,1
Uzbekistan,,,|,thailand,5,2
Uzbekistan,,,|,thailand,7,2
Uzbekistan,,,|,thailand,8,1
Uzbekistan,,,|,thailand,8,0
Uzbekistan,,,|,thailand,14,6
Uzbekistan,,,|,thailand,14,0
Uzbekistan,,,|,thailand,14,0
Uzbekistan,,,|,thailand,19,5
Uzbekistan,,,|,thailand,19,0
Uzbekistan,,,|,thailand,19,0
Uzbekistan,,,|,thailand,19,0
Uzbekistan,,,|,thailand,25,6
Uzbekistan,,,|,thailand,25,0
Uzbekistan,,,|,thailand,25,0
Uzbekistan,,,|,thailand,25,0
Uzbekistan,,,|,thailand,32,7
Uzbekistan,,,|,thailand,32,0
Uzbekistan,,,|,thailand,32,0
Uzbekistan,,,|,thailand,33,1
Uzbekistan,,,|,thailand,33,0
Uzbekistan,,,|,thailand,33,0
Uzbekistan,,,|,thailand,33,0
Uzbekistan,,,|,thailand,33,0
Uzbekistan,,,|,thailand,34,1
Uzbekistan,,,|,thailand,35,1
Uzbekistan,,,|,thailand,35,0
Uzbekistan,,,|,thailand,35,0
Uzbekistan,,,|,thailand,35,0
Uzbekistan,,,|,thailand,35,0
Uzbekistan,,,|,thailand,35,0
Uzbekistan,,,|,thailand,35,0
Uzbekistan,,,|,thailand,35,0
Uzbekistan,,,|,thailand,37,2
Uzbekistan,,,|,thailand,40,3
Uzbekistan,,,|,thailand,40,0
Uzbekistan,,,|,thailand,41,1
Uzbekistan,,,|,thailand,42,1
Uzbekistan,,,|,thailand,42,0
Uzbekistan,,,|,thailand,43,1
Uzbekistan,,,|,thailand,43,0
Uzbekistan,,,|,thailand,43,0
Uzbekistan,,,|,thailand,47,4
Uzbekistan,,,|,thailand,48,1
Uzbekistan,,,|,thailand,50,2
Uzbekistan,,,|,thailand,50,0
Uzbekistan,,,|,thailand,50,0
Uzbekistan,,,|,thailand,53,3
Uzbekistan,,,|,thailand,59,6
Uzbekistan,1,,|,thailand,70,11
Uzbekistan,6,5,|,thailand,75,5
Uzbekistan,10,4,|,thailand,82,7
Uzbekistan,15,5,|,thailand,114,32
Uzbekistan,23,8,|,thailand,147,33
Uzbekistan,33,10,|,thailand,177,30
Uzbekistan,43,10,|,thailand,212,35
Uzbekistan,43,0,|,thailand,272,60
Uzbekistan,46,3,|,thailand,322,50
Uzbekistan,50,4,|,thailand,411,89
Uzbekistan,60,10,|,thailand,599,188
Uzbekistan,75,15,|,thailand,721,122
Uzbekistan,88,13,|,thailand,827,106
Uzbekistan,104,16,|,thailand,934,107
Uzbekistan,144,40,|,thailand,1045,111
Uzbekistan,149,5,|,thailand,1136,91
Uzbekistan,172,23,|,thailand,1245,109
Uzbekistan,181,9,|,thailand,1388,143
Uzbekistan,205,24,|,thailand,1524,136
Uzbekistan,227,22,|,thailand,1651,127
Uzbekistan,266,39,|,thailand,1771,120
Uzbekistan,342,76,|,thailand,1875,104
Uzbekistan,457,115,|,thailand,1978,103
Uzbekistan,520,63,|,thailand,2067,89
Uzbekistan,545,25,|,thailand,2169,102
Uzbekistan,582,37,|,thailand,2220,51
Uzbekistan,624,42,|,thailand,2258,38
Uzbekistan,767,143,|,thailand,2369,111
Uzbekistan,,,|,thailand,2423,54
Uzbekistan,,,|,thailand,2473,50
Uzbekistan,,,|,thailand,2518,45
