Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Venezuela (Bolivarian Republic),,,|,singapore,1,-2298
Venezuela (Bolivarian Republic),,,|,singapore,3,2
Venezuela (Bolivarian Republic),,,|,singapore,3,0
Venezuela (Bolivarian Republic),,,|,singapore,4,1
Venezuela (Bolivarian Republic),,,|,singapore,5,1
Venezuela (Bolivarian Republic),,,|,singapore,7,2
Venezuela (Bolivarian Republic),,,|,singapore,7,0
Venezuela (Bolivarian Republic),,,|,singapore,10,3
Venezuela (Bolivarian Republic),2,,|,singapore,13,3
Venezuela (Bolivarian Republic),10,8,|,singapore,16,3
Venezuela (Bolivarian Republic),17,7,|,singapore,18,2
Venezuela (Bolivarian Republic),33,16,|,singapore,18,0
Venezuela (Bolivarian Republic),36,3,|,singapore,24,6
Venezuela (Bolivarian Republic),42,6,|,singapore,28,4
Venezuela (Bolivarian Republic),42,0,|,singapore,28,0
Venezuela (Bolivarian Republic),70,28,|,singapore,30,2
Venezuela (Bolivarian Republic),70,0,|,singapore,33,3
Venezuela (Bolivarian Republic),77,7,|,singapore,40,7
Venezuela (Bolivarian Republic),84,7,|,singapore,45,5
Venezuela (Bolivarian Republic),91,7,|,singapore,47,2
Venezuela (Bolivarian Republic),107,16,|,singapore,50,3
Venezuela (Bolivarian Republic),107,0,|,singapore,58,8
Venezuela (Bolivarian Republic),119,12,|,singapore,67,9
Venezuela (Bolivarian Republic),119,0,|,singapore,72,5
Venezuela (Bolivarian Republic),135,16,|,singapore,75,3
Venezuela (Bolivarian Republic),135,0,|,singapore,77,2
Venezuela (Bolivarian Republic),143,8,|,singapore,81,4
Venezuela (Bolivarian Republic),146,3,|,singapore,84,3
Venezuela (Bolivarian Republic),153,7,|,singapore,84,0
Venezuela (Bolivarian Republic),155,2,|,singapore,85,1
Venezuela (Bolivarian Republic),159,4,|,singapore,85,0
Venezuela (Bolivarian Republic),165,6,|,singapore,89,4
Venezuela (Bolivarian Republic),165,0,|,singapore,89,0
Venezuela (Bolivarian Republic),167,2,|,singapore,91,2
Venezuela (Bolivarian Republic),171,4,|,singapore,93,2
Venezuela (Bolivarian Republic),171,0,|,singapore,93,0
Venezuela (Bolivarian Republic),175,4,|,singapore,93,0
Venezuela (Bolivarian Republic),,,|,singapore,102,9
Venezuela (Bolivarian Republic),,,|,singapore,106,4
Venezuela (Bolivarian Republic),,,|,singapore,108,2
Venezuela (Bolivarian Republic),,,|,singapore,110,2
Venezuela (Bolivarian Republic),,,|,singapore,110,0
Venezuela (Bolivarian Republic),,,|,singapore,117,7
Venezuela (Bolivarian Republic),,,|,singapore,130,13
Venezuela (Bolivarian Republic),,,|,singapore,138,8
Venezuela (Bolivarian Republic),,,|,singapore,150,12
Venezuela (Bolivarian Republic),,,|,singapore,150,0
Venezuela (Bolivarian Republic),,,|,singapore,160,10
Venezuela (Bolivarian Republic),,,|,singapore,178,18
Venezuela (Bolivarian Republic),,,|,singapore,178,0
Venezuela (Bolivarian Republic),,,|,singapore,200,22
Venezuela (Bolivarian Republic),,,|,singapore,212,12
Venezuela (Bolivarian Republic),,,|,singapore,226,14
Venezuela (Bolivarian Republic),,,|,singapore,243,17
Venezuela (Bolivarian Republic),,,|,singapore,266,23
Venezuela (Bolivarian Republic),,,|,singapore,313,47
Venezuela (Bolivarian Republic),,,|,singapore,345,32
Venezuela (Bolivarian Republic),,,|,singapore,385,40
Venezuela (Bolivarian Republic),,,|,singapore,432,47
Venezuela (Bolivarian Republic),,,|,singapore,455,23
Venezuela (Bolivarian Republic),,,|,singapore,509,54
Venezuela (Bolivarian Republic),,,|,singapore,558,49
Venezuela (Bolivarian Republic),,,|,singapore,631,73
Venezuela (Bolivarian Republic),,,|,singapore,683,52
Venezuela (Bolivarian Republic),,,|,singapore,732,49
Venezuela (Bolivarian Republic),,,|,singapore,802,70
Venezuela (Bolivarian Republic),,,|,singapore,844,42
Venezuela (Bolivarian Republic),,,|,singapore,879,35
Venezuela (Bolivarian Republic),,,|,singapore,926,47
Venezuela (Bolivarian Republic),,,|,singapore,1000,74
Venezuela (Bolivarian Republic),,,|,singapore,1049,49
Venezuela (Bolivarian Republic),,,|,singapore,1114,65
Venezuela (Bolivarian Republic),,,|,singapore,1189,75
Venezuela (Bolivarian Republic),,,|,singapore,1309,120
Venezuela (Bolivarian Republic),,,|,singapore,1375,66
Venezuela (Bolivarian Republic),,,|,singapore,1481,106
Venezuela (Bolivarian Republic),,,|,singapore,1623,142
Venezuela (Bolivarian Republic),,,|,singapore,1910,287
Venezuela (Bolivarian Republic),,,|,singapore,2108,198
Venezuela (Bolivarian Republic),,,|,singapore,2299,191
