Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Venezuela (Bolivarian Republic),,,|,taiwan,1,-384
Venezuela (Bolivarian Republic),,,|,taiwan,1,0
Venezuela (Bolivarian Republic),,,|,taiwan,3,2
Venezuela (Bolivarian Republic),,,|,taiwan,3,0
Venezuela (Bolivarian Republic),,,|,taiwan,4,1
Venezuela (Bolivarian Republic),,,|,taiwan,5,1
Venezuela (Bolivarian Republic),,,|,taiwan,8,3
Venezuela (Bolivarian Republic),,,|,taiwan,8,0
Venezuela (Bolivarian Republic),,,|,taiwan,9,1
Venezuela (Bolivarian Republic),,,|,taiwan,10,1
Venezuela (Bolivarian Republic),,,|,taiwan,10,0
Venezuela (Bolivarian Republic),,,|,taiwan,10,0
Venezuela (Bolivarian Republic),,,|,taiwan,10,0
Venezuela (Bolivarian Republic),,,|,taiwan,11,1
Venezuela (Bolivarian Republic),,,|,taiwan,11,0
Venezuela (Bolivarian Republic),2,,|,taiwan,16,5
Venezuela (Bolivarian Republic),10,8,|,taiwan,16,0
Venezuela (Bolivarian Republic),17,7,|,taiwan,17,1
Venezuela (Bolivarian Republic),33,16,|,taiwan,18,1
Venezuela (Bolivarian Republic),36,3,|,taiwan,18,0
Venezuela (Bolivarian Republic),42,6,|,taiwan,18,0
Venezuela (Bolivarian Republic),42,0,|,taiwan,18,0
Venezuela (Bolivarian Republic),70,28,|,taiwan,18,0
Venezuela (Bolivarian Republic),70,0,|,taiwan,18,0
Venezuela (Bolivarian Republic),77,7,|,taiwan,18,0
Venezuela (Bolivarian Republic),84,7,|,taiwan,20,2
Venezuela (Bolivarian Republic),91,7,|,taiwan,22,2
Venezuela (Bolivarian Republic),107,16,|,taiwan,22,0
Venezuela (Bolivarian Republic),107,0,|,taiwan,23,1
Venezuela (Bolivarian Republic),119,12,|,taiwan,24,1
Venezuela (Bolivarian Republic),119,0,|,taiwan,26,2
Venezuela (Bolivarian Republic),135,16,|,taiwan,26,0
Venezuela (Bolivarian Republic),135,0,|,taiwan,28,2
Venezuela (Bolivarian Republic),143,8,|,taiwan,30,2
Venezuela (Bolivarian Republic),146,3,|,taiwan,31,1
Venezuela (Bolivarian Republic),153,7,|,taiwan,32,1
Venezuela (Bolivarian Republic),155,2,|,taiwan,32,0
Venezuela (Bolivarian Republic),159,4,|,taiwan,34,2
Venezuela (Bolivarian Republic),165,6,|,taiwan,39,5
Venezuela (Bolivarian Republic),165,0,|,taiwan,40,1
Venezuela (Bolivarian Republic),167,2,|,taiwan,41,1
Venezuela (Bolivarian Republic),171,4,|,taiwan,42,1
Venezuela (Bolivarian Republic),171,0,|,taiwan,42,0
Venezuela (Bolivarian Republic),175,4,|,taiwan,44,2
Venezuela (Bolivarian Republic),,,|,taiwan,45,1
Venezuela (Bolivarian Republic),,,|,taiwan,45,0
Venezuela (Bolivarian Republic),,,|,taiwan,45,0
Venezuela (Bolivarian Republic),,,|,taiwan,45,0
Venezuela (Bolivarian Republic),,,|,taiwan,47,2
Venezuela (Bolivarian Republic),,,|,taiwan,48,1
Venezuela (Bolivarian Republic),,,|,taiwan,49,1
Venezuela (Bolivarian Republic),,,|,taiwan,50,1
Venezuela (Bolivarian Republic),,,|,taiwan,53,3
Venezuela (Bolivarian Republic),,,|,taiwan,59,6
Venezuela (Bolivarian Republic),,,|,taiwan,67,8
Venezuela (Bolivarian Republic),,,|,taiwan,77,10
Venezuela (Bolivarian Republic),,,|,taiwan,100,23
Venezuela (Bolivarian Republic),,,|,taiwan,108,8
Venezuela (Bolivarian Republic),,,|,taiwan,135,27
Venezuela (Bolivarian Republic),,,|,taiwan,153,18
Venezuela (Bolivarian Republic),,,|,taiwan,169,16
Venezuela (Bolivarian Republic),,,|,taiwan,195,26
Venezuela (Bolivarian Republic),,,|,taiwan,215,20
Venezuela (Bolivarian Republic),,,|,taiwan,235,20
Venezuela (Bolivarian Republic),,,|,taiwan,252,17
Venezuela (Bolivarian Republic),,,|,taiwan,267,15
Venezuela (Bolivarian Republic),,,|,taiwan,283,16
Venezuela (Bolivarian Republic),,,|,taiwan,298,15
Venezuela (Bolivarian Republic),,,|,taiwan,306,8
Venezuela (Bolivarian Republic),,,|,taiwan,322,16
Venezuela (Bolivarian Republic),,,|,taiwan,329,7
Venezuela (Bolivarian Republic),,,|,taiwan,339,10
Venezuela (Bolivarian Republic),,,|,taiwan,348,9
Venezuela (Bolivarian Republic),,,|,taiwan,355,7
Venezuela (Bolivarian Republic),,,|,taiwan,363,8
Venezuela (Bolivarian Republic),,,|,taiwan,373,10
Venezuela (Bolivarian Republic),,,|,taiwan,376,3
Venezuela (Bolivarian Republic),,,|,taiwan,379,3
Venezuela (Bolivarian Republic),,,|,taiwan,380,1
Venezuela (Bolivarian Republic),,,|,taiwan,382,2
Venezuela (Bolivarian Republic),,,|,taiwan,385,3
