Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Venezuela (Bolivarian Republic),135,,|,thailand,2,-2516
Venezuela (Bolivarian Republic),143,8,|,thailand,3,1
Venezuela (Bolivarian Republic),146,3,|,thailand,5,2
Venezuela (Bolivarian Republic),153,7,|,thailand,7,2
Venezuela (Bolivarian Republic),155,2,|,thailand,8,1
Venezuela (Bolivarian Republic),159,4,|,thailand,8,0
Venezuela (Bolivarian Republic),165,6,|,thailand,14,6
Venezuela (Bolivarian Republic),165,0,|,thailand,14,0
Venezuela (Bolivarian Republic),167,2,|,thailand,14,0
Venezuela (Bolivarian Republic),171,4,|,thailand,19,5
Venezuela (Bolivarian Republic),171,0,|,thailand,19,0
Venezuela (Bolivarian Republic),,,|,thailand,19,0
Venezuela (Bolivarian Republic),,,|,thailand,19,0
Venezuela (Bolivarian Republic),,,|,thailand,25,6
Venezuela (Bolivarian Republic),,,|,thailand,25,0
Venezuela (Bolivarian Republic),,,|,thailand,25,0
Venezuela (Bolivarian Republic),,,|,thailand,25,0
Venezuela (Bolivarian Republic),,,|,thailand,32,7
Venezuela (Bolivarian Republic),,,|,thailand,32,0
Venezuela (Bolivarian Republic),,,|,thailand,32,0
Venezuela (Bolivarian Republic),,,|,thailand,33,1
Venezuela (Bolivarian Republic),,,|,thailand,33,0
Venezuela (Bolivarian Republic),,,|,thailand,33,0
Venezuela (Bolivarian Republic),,,|,thailand,33,0
Venezuela (Bolivarian Republic),,,|,thailand,33,0
Venezuela (Bolivarian Republic),,,|,thailand,34,1
Venezuela (Bolivarian Republic),,,|,thailand,35,1
Venezuela (Bolivarian Republic),,,|,thailand,35,0
Venezuela (Bolivarian Republic),,,|,thailand,35,0
Venezuela (Bolivarian Republic),,,|,thailand,35,0
Venezuela (Bolivarian Republic),,,|,thailand,35,0
Venezuela (Bolivarian Republic),,,|,thailand,35,0
Venezuela (Bolivarian Republic),,,|,thailand,35,0
Venezuela (Bolivarian Republic),,,|,thailand,35,0
Venezuela (Bolivarian Republic),,,|,thailand,37,2
Venezuela (Bolivarian Republic),,,|,thailand,40,3
Venezuela (Bolivarian Republic),,,|,thailand,40,0
Venezuela (Bolivarian Republic),,,|,thailand,41,1
Venezuela (Bolivarian Republic),,,|,thailand,42,1
Venezuela (Bolivarian Republic),,,|,thailand,42,0
Venezuela (Bolivarian Republic),,,|,thailand,43,1
Venezuela (Bolivarian Republic),,,|,thailand,43,0
Venezuela (Bolivarian Republic),,,|,thailand,43,0
Venezuela (Bolivarian Republic),,,|,thailand,47,4
Venezuela (Bolivarian Republic),,,|,thailand,48,1
Venezuela (Bolivarian Republic),,,|,thailand,50,2
Venezuela (Bolivarian Republic),,,|,thailand,50,0
Venezuela (Bolivarian Republic),,,|,thailand,50,0
Venezuela (Bolivarian Republic),,,|,thailand,53,3
Venezuela (Bolivarian Republic),,,|,thailand,59,6
Venezuela (Bolivarian Republic),,,|,thailand,70,11
Venezuela (Bolivarian Republic),,,|,thailand,75,5
Venezuela (Bolivarian Republic),,,|,thailand,82,7
Venezuela (Bolivarian Republic),,,|,thailand,114,32
Venezuela (Bolivarian Republic),,,|,thailand,147,33
Venezuela (Bolivarian Republic),,,|,thailand,177,30
Venezuela (Bolivarian Republic),,,|,thailand,212,35
Venezuela (Bolivarian Republic),,,|,thailand,272,60
Venezuela (Bolivarian Republic),,,|,thailand,322,50
Venezuela (Bolivarian Republic),,,|,thailand,411,89
Venezuela (Bolivarian Republic),,,|,thailand,599,188
Venezuela (Bolivarian Republic),,,|,thailand,721,122
Venezuela (Bolivarian Republic),,,|,thailand,827,106
Venezuela (Bolivarian Republic),,,|,thailand,934,107
Venezuela (Bolivarian Republic),,,|,thailand,1045,111
Venezuela (Bolivarian Republic),,,|,thailand,1136,91
Venezuela (Bolivarian Republic),,,|,thailand,1245,109
Venezuela (Bolivarian Republic),,,|,thailand,1388,143
Venezuela (Bolivarian Republic),,,|,thailand,1524,136
Venezuela (Bolivarian Republic),,,|,thailand,1651,127
Venezuela (Bolivarian Republic),,,|,thailand,1771,120
Venezuela (Bolivarian Republic),,,|,thailand,1875,104
Venezuela (Bolivarian Republic),,,|,thailand,1978,103
Venezuela (Bolivarian Republic),,,|,thailand,2067,89
Venezuela (Bolivarian Republic),,,|,thailand,2169,102
Venezuela (Bolivarian Republic),,,|,thailand,2220,51
Venezuela (Bolivarian Republic),,,|,thailand,2258,38
Venezuela (Bolivarian Republic),,,|,thailand,2369,111
Venezuela (Bolivarian Republic),,,|,thailand,2423,54
Venezuela (Bolivarian Republic),,,|,thailand,2473,50
Venezuela (Bolivarian Republic),,,|,thailand,2518,45
