Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Venezuela (Bolivarian Republic),107,,|,uganda,1,-52
Venezuela (Bolivarian Republic),119,12,|,uganda,1,0
Venezuela (Bolivarian Republic),119,0,|,uganda,9,8
Venezuela (Bolivarian Republic),135,16,|,uganda,9,0
Venezuela (Bolivarian Republic),135,0,|,uganda,14,5
Venezuela (Bolivarian Republic),143,8,|,uganda,14,0
Venezuela (Bolivarian Republic),146,3,|,uganda,23,9
Venezuela (Bolivarian Republic),153,7,|,uganda,30,7
Venezuela (Bolivarian Republic),155,2,|,uganda,33,3
Venezuela (Bolivarian Republic),159,4,|,uganda,33,0
Venezuela (Bolivarian Republic),165,6,|,uganda,44,11
Venezuela (Bolivarian Republic),165,0,|,uganda,44,0
Venezuela (Bolivarian Republic),167,2,|,uganda,45,1
Venezuela (Bolivarian Republic),171,4,|,uganda,48,3
Venezuela (Bolivarian Republic),171,0,|,uganda,48,0
Venezuela (Bolivarian Republic),,,|,uganda,52,4
Venezuela (Bolivarian Republic),,,|,uganda,52,0
Venezuela (Bolivarian Republic),,,|,uganda,52,0
Venezuela (Bolivarian Republic),,,|,uganda,53,1
Venezuela (Bolivarian Republic),,,|,uganda,53,0
Venezuela (Bolivarian Republic),,,|,uganda,53,0
Venezuela (Bolivarian Republic),,,|,uganda,53,0
